date,FU476000105.Q,FU475013005.Q,FU474090005.Q,FU474010005.Q,FU472050053.Q,FU474022005.Q,FU473069153.Q,FU473061105.Q,FU473061705.Q,FU473062005.Q,FU473063005.Q,FU474023000.Q,FU473068005.Q,FU473065005.Q,FU473065100.Q,FU473065403.Q,FU473065503.Q,FU473065603.Q,FU473066000.Q,FU473092403.Q,FU473064205.Q,FU473093005.Q,FU474190005.Q,FU713068743.Q,FU473127003.Q,FU473130005.Q,FU472150053.Q,FU473169333.Q,FU473193005.Q,FU477005005.Q,FU473139103.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,11,1,73,19,0,0,0,0,0,0,0,54,0,41,41,0,0,0,13,0,0,0,73,0,0,63,0,0,10,10,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,15,1,95,-9,0,15,0,15,0,0,0,89,0,68,68,0,0,0,21,0,0,0,90,0,0,81,0,0,9,9,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,22,3,113,-2,0,10,0,10,0,0,0,105,0,77,77,0,0,0,28,0,0,0,107,0,0,93,0,0,14,13,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,29,4,124,-7,0,7,0,7,0,0,0,124,0,43,43,0,0,0,81,0,0,0,116,0,0,98,0,0,18,17,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,39,5,185,25,0,8,0,8,0,0,0,152,0,57,57,0,0,0,95,0,0,0,174,0,0,149,0,0,25,23,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,44,5,265,199,0,10,0,10,0,0,0,56,0,3,3,0,0,0,53,0,0,0,255,0,0,225,0,0,30,29,0
1952:Q1,12,1,31,6,0,2,0,2,0,0,0,23,0,-48,-48,0,0,0,71,0,0,0,27,0,0,20,0,0,7,7,0
1952:Q2,13,1,110,21,0,1,0,1,0,0,0,88,0,47,47,0,0,0,41,0,0,0,107,0,0,98,0,0,9,9,0
1952:Q3,14,1,78,5,0,1,0,1,0,0,0,72,0,-44,-44,0,0,0,116,0,0,0,75,0,0,65,0,0,10,10,0
1952:Q4,14,1,107,50,0,3,0,2,1,0,0,54,0,30,30,0,0,0,24,0,0,0,103,0,0,93,0,0,10,9,0
1953:Q1,16,3,50,-17,0,1,0,1,0,0,0,66,0,5,5,0,0,0,61,0,0,0,43,0,0,36,0,0,7,6,0
1953:Q2,18,3,152,47,0,1,0,1,0,0,0,104,0,33,33,0,0,0,71,0,0,0,147,0,0,136,0,0,11,10,0
1953:Q3,20,3,90,0,0,1,0,1,0,0,0,89,0,-42,-42,0,0,0,131,0,0,0,83,0,0,72,0,0,11,10,0
1953:Q4,24,3,115,60,0,3,0,3,0,0,0,52,0,-3,-3,0,0,0,55,0,0,0,108,0,0,93,0,0,15,14,0
1954:Q1,24,3,58,29,0,2,0,2,0,0,0,27,0,-22,-22,0,0,0,49,0,0,0,54,0,0,36,0,0,18,17,0
1954:Q2,24,3,128,38,0,2,0,2,0,0,0,88,0,95,95,0,0,0,-7,0,0,0,125,0,0,106,0,0,19,18,0
1954:Q3,24,3,118,42,0,2,0,2,0,0,0,74,0,-40,-40,0,0,0,114,0,0,0,114,0,0,96,0,0,18,18,0
1954:Q4,26,3,135,92,0,2,0,2,0,0,0,41,0,-9,-9,0,0,0,50,0,0,0,132,0,0,111,0,0,21,21,0
1955:Q1,26,3,53,-1,0,3,0,3,0,0,0,51,0,98,98,0,0,0,-47,0,0,0,43,0,0,29,0,0,14,13,0
1955:Q2,28,4,158,30,0,4,0,4,0,0,0,124,0,38,38,0,0,0,86,0,0,0,150,0,0,132,0,0,18,17,0
1955:Q3,31,4,149,28,0,4,0,4,0,0,0,117,0,-17,-17,0,0,0,134,0,0,0,139,0,0,120,0,0,19,17,0
1955:Q4,33,4,159,85,0,4,0,4,0,0,0,70,0,-2,-2,0,0,0,72,0,0,0,149,0,0,128,0,0,21,19,0
1956:Q1,33,3,129,69,0,4,0,4,0,0,0,56,0,-2,-2,0,0,0,58,0,0,0,121,0,0,98,0,0,23,22,0
1956:Q2,34,3,145,16,0,4,0,4,0,0,0,125,0,127,127,0,0,0,-2,0,0,0,136,0,0,113,0,0,23,22,0
1956:Q3,37,4,119,-2,0,4,0,4,0,0,0,117,0,-53,-53,0,0,0,170,0,0,0,109,0,0,85,0,0,24,23,0
1956:Q4,38,4,207,110,0,3,0,3,0,0,0,94,0,-3,-3,0,0,0,97,0,0,0,198,0,0,172,0,0,26,25,0
1957:Q1,39,4,131,61,0,4,0,4,0,0,0,66,0,85,85,0,0,0,-19,0,0,0,121,0,0,95,0,0,26,24,0
1957:Q2,41,4,148,-8,0,4,0,4,0,0,0,152,0,8,8,0,0,0,144,0,0,0,138,0,0,110,0,0,28,27,0
1957:Q3,45,5,127,-25,0,4,0,4,0,0,0,148,0,-35,-35,0,0,0,183,0,0,0,115,0,0,85,0,0,30,28,0
1957:Q4,49,4,223,136,0,3,0,3,0,0,0,84,0,-59,-59,0,0,0,143,0,0,0,213,0,0,177,0,0,36,35,0
1958:Q1,48,5,144,152,0,4,0,4,0,0,0,-12,0,74,74,0,0,0,-86,0,0,0,137,0,0,99,0,0,38,36,0
1958:Q2,48,5,156,47,0,4,0,4,0,0,0,105,0,-35,-35,0,0,0,140,0,0,0,148,0,0,112,0,0,36,35,0
1958:Q3,48,4,131,39,0,4,0,4,0,0,0,88,0,34,34,0,0,0,54,0,0,0,122,0,0,87,0,0,35,34,0
1958:Q4,49,5,235,146,0,3,0,3,0,0,0,86,0,-46,-46,0,0,0,132,0,0,0,228,0,0,190,0,0,38,37,0
1959:Q1,48,5,160,91,0,3,0,3,0,0,0,66,0,104,104,0,0,0,-38,0,0,0,146,0,9,107,0,0,30,29,0
1959:Q2,48,5,175,-35,0,2,0,2,0,0,0,208,0,7,7,0,0,0,201,0,0,0,161,0,1,130,0,0,30,29,0
1959:Q3,49,5,149,-80,0,2,0,2,0,0,0,227,0,50,50,0,0,0,177,0,0,0,134,0,0,104,0,0,30,28,0
1959:Q4,53,5,270,104,0,3,0,3,0,0,0,163,0,-28,-28,0,0,0,191,0,0,0,255,0,0,221,0,0,34,32,0
1960:Q1,51,5,155,38,0,2,0,2,0,0,0,115,0,178,178,0,0,0,-63,0,0,0,143,0,1,106,0,0,36,34,0
1960:Q2,50,6,171,-90,0,2,0,2,0,0,0,259,0,-24,-24,0,0,0,283,0,0,0,159,0,0,124,0,0,35,33,0
1960:Q3,45,5,123,-60,0,2,0,2,0,0,0,181,0,-31,-31,0,0,0,212,0,0,0,109,0,0,81,0,0,28,26,0
1960:Q4,43,5,267,143,0,4,0,4,0,0,0,120,0,-22,-22,0,0,0,142,0,0,0,256,0,1,227,0,0,28,26,0
1961:Q1,44,5,165,169,0,4,0,4,0,0,0,-8,0,140,140,0,0,0,-148,0,0,0,154,0,0,125,0,0,29,27,0
1961:Q2,44,6,185,-2,0,5,0,5,0,0,0,182,0,-67,-67,0,0,0,249,0,0,0,174,0,0,145,0,0,29,27,0
1961:Q3,42,6,151,24,0,5,0,5,0,0,0,122,0,89,89,0,0,0,33,0,0,0,139,0,0,113,0,0,26,24,0
1961:Q4,38,6,309,189,0,6,0,6,0,0,0,114,0,68,68,0,0,0,46,0,0,0,299,0,1,274,0,0,24,22,0
1962:Q1,38,6,197,194,0,5,0,5,0,0,0,-2,0,51,51,0,0,0,-53,0,0,0,180,0,0,163,0,0,17,14,0
1962:Q2,37,7,170,-110,0,4,0,4,0,0,0,276,0,-39,-39,0,0,0,315,0,0,0,152,0,1,136,0,0,15,12,0
1962:Q3,33,7,138,-61,0,5,0,5,0,0,0,194,0,63,63,0,0,0,131,0,0,0,118,0,0,109,0,0,9,6,0
1962:Q4,29,7,308,150,0,6,0,6,0,0,0,152,0,69,69,0,0,0,83,0,0,0,291,0,1,282,0,0,8,5,0
1963:Q1,25,6,209,175,0,10,0,9,1,0,0,24,0,100,100,0,0,0,-76,0,0,0,192,0,0,187,0,0,5,3,0
1963:Q2,21,6,191,-140,0,12,0,11,1,0,0,319,0,-6,-6,0,0,0,325,0,0,0,172,0,1,172,0,0,-1,-4,0
1963:Q3,21,6,157,-55,0,12,0,11,1,0,0,200,0,74,74,0,0,0,126,0,0,0,138,0,0,140,0,0,-2,-4,0
1963:Q4,20,6,350,184,0,11,0,9,2,0,0,155,0,87,87,0,0,0,68,0,0,0,333,0,1,333,0,0,-1,-4,0
1964:Q1,22,7,210,148,0,8,0,6,2,0,0,54,0,4,4,0,0,0,50,0,0,0,181,0,0,192,0,0,-11,-15,0
1964:Q2,23,7,297,-56,0,6,0,4,2,0,0,347,0,-58,-58,0,0,0,405,0,0,0,269,0,1,277,0,0,-9,-13,0
1964:Q3,26,8,215,-62,0,6,0,3,3,0,0,271,0,57,57,0,0,0,214,0,0,0,184,0,0,193,0,0,-9,-13,0
1964:Q4,27,8,420,228,0,5,0,2,3,0,0,187,0,-35,-35,0,0,0,222,0,0,0,390,0,1,396,0,0,-7,-11,0
1965:Q1,26,8,195,83,0,5,0,2,3,0,0,107,0,139,139,0,0,0,-32,0,0,0,165,0,0,173,0,0,-8,-12,0
1965:Q2,28,8,270,-191,0,2,0,1,1,0,0,459,0,-3,-3,0,0,0,462,0,0,0,239,0,1,245,0,0,-7,-11,0
1965:Q3,28,8,176,-81,0,5,0,1,4,0,0,252,0,-81,-81,0,0,0,333,0,0,0,143,0,0,152,0,0,-9,-13,0
1965:Q4,29,9,449,235,0,15,0,4,11,0,0,199,0,-79,-79,0,0,0,278,0,0,0,419,0,1,423,0,0,-5,-9,0
1966:Q1,31,8,198,98,0,25,0,5,20,0,0,75,0,246,246,0,0,0,-171,0,0,0,166,0,1,170,0,0,-5,-9,0
1966:Q2,34,8,265,-177,0,36,0,7,29,0,0,406,0,-49,-49,0,0,0,455,0,0,0,233,0,0,235,0,0,-2,-6,0
1966:Q3,34,8,124,-208,0,38,0,7,31,0,0,294,0,-121,-121,0,0,0,415,0,0,0,87,0,1,93,0,0,-7,-12,0
1966:Q4,35,9,381,142,0,30,0,5,25,0,0,209,0,-68,-68,0,0,0,277,0,0,0,349,0,0,351,0,0,-2,-6,0
1967:Q1,34,8,207,206,0,23,0,2,21,0,0,-22,0,1,1,0,0,0,-23,0,0,0,180,0,1,177,0,0,2,-2,0
1967:Q2,34,9,353,-49,0,17,0,-1,18,0,0,385,0,-7,-7,0,0,0,392,0,0,0,329,0,0,324,0,0,5,1,0
1967:Q3,33,8,182,-74,0,18,0,0,18,0,0,238,0,-3,-3,0,0,0,241,0,0,0,154,0,1,153,0,0,0,-3,0
1967:Q4,34,9,405,199,0,24,0,3,21,0,0,182,0,-41,-41,0,0,0,223,0,0,0,380,0,1,375,0,0,4,1,0
1968:Q1,35,11,274,198,0,33,0,3,30,0,0,43,0,-65,-65,0,0,0,108,0,0,0,244,0,0,245,0,0,-1,-6,0
1968:Q2,35,10,423,-129,0,35,0,0,35,0,0,517,0,-8,-8,0,0,0,525,0,0,0,394,0,1,393,0,0,0,-4,0
1968:Q3,37,11,141,-308,0,42,0,5,37,0,0,407,0,-32,-32,0,0,0,439,0,0,0,106,0,0,110,0,0,-4,-8,0
