date,FU106902501.A,FU106300003.A,FU106902605.A,FU106025005.A,FU106020001.A,FU106401001.A,FU106240101.A,FU106402101.A,FU106140005.A,FU106402101.A,FU106150105.A,FU106130101.A,FU106121101.A,FU103092201.A,FU106150005.A,FU106130001.A,FU106121001.A,FU103192201.A,FU106112001.A,FU106140005.A,FU106220001.A,FU106403001.A,FU106012095.A,FU106012095.A,FU106006385.A,FU106012095.A,FU105440005.A,FU105050985.A,FU105019085.A,FU106300003.A,FU105420095.A,FU105020005.A,FU105000905.A,FU105000905.A,FU104090005.A,FU104000005.A,FU103020005.A,FU103030003.A,FU103091003.A,FU104022005.A,FU103069100.A,FU103061103.A,FU103061703.A,FU103062003.A,FU123063003.A,FU104035005.A,FU104041005.A,FU104042005.A,FU103081005.A,FU103034000.A,FU103064103.A,FU103064203.A,FU103092105.A,FU103092405.A,FU103076005.A,FU103096005.A,FU103070005.A,FU103072005.A,FU103094705.A,FU103093005.A,FU104194005.A,FU104122005.A,FU103169100.A,FU103162000.A,FU103163005.A,FU104135005.A,FU104141005.A,FU103168005.A,FU103169005.A,FU104142005.A,FU103165005.A,FU103192305.A,FU103181005.A,FU103164105.A,FU103192105.A,FU103152025.A,FU573074005.A,FU573073005.A,FU103196005.A,FU103170005.A,FU103178005.A,FU103193005.A,FU105000005.A,FV108090105.A,FV102010005.A,FV108090085.A,FU107005045.A,FU105020601.A,FR102010005.A,FR105035005.A,FR105015205.A,FR105013765.A,FR105020015.A,FR104090005.A,FR104022005.A,FR103092305.A,FR103064103.A,FR103064203.A,FR103092105.A,FR103093005.A,FR104194005.A,FR103192305.A,FR103164105.A,FR103192105.A,FR103152025.A,FR103193005.A,FR102090095.A,FC102090095.A,FL102000005.A,LM102010005.A,LM105035005.A,LM105015205.A,LM105013765.A,LM105020015.A,FL104090005.A,FL104000005.A,FL103020005.A,FL103030003.A,FL103091003.A,LM104022005.A,FL103069100.A,LM103061103.A,LM103061703.A,LM103062003.A,LM123063003.A,FL104035005.A,FL104041005.A,FL102051003.A,FL103066005.A,FL104042005.A,FL103065005.A,FL103092305.A,FL103081005.A,FL103034000.A,LM103064103.A,LM103064203.A,LM103092105.A,FL103092405.A,FL103076005.A,FL103096005.A,FL103070005.A,FL103072005.A,FL103094705.A,FL103093005.A,FL102100085.A,FL104194005.A,FL104122005.A,FL103169100.A,FL103162000.A,FL103163005.A,FL104135005.A,FL104141005.A,FL103168005.A,FL103169005.A,FL104142005.A,FL103165005.A,LM103192305.A,FL103181005.A,LM103164105.A,FL103192105.A,FL103152025.A,FL573074005.A,FL573073005.A,FL103196005.A,FL103170005.A,FL103178005.A,FL103193005.A,FL102090095.A
1960,282484,27560,254924,180409,165053,15356,26600,47915,35322,47915,8139,3263,3569,1307,20732,6148,14024,132,428,35322,19142,1266,14914,14914,15007,14914,-93,14266,40427,27560,-652,2051,740,740,2840,563,-940,1500,3,-5319,46,-5869,-84,588,0,-383,-495,112,2732,0,0,0,2711,21,597,4650,4925,0,0,-275,14577,3876,454,0,3422,5119,4254,2212,2042,865,817,48,1557,1365,192,1026,66,960,2999,2835,-1590,1754,-11737,-10545,654,1106,12477,-173,-1596,-2724,421,269,441,-901,0,-35,0,0,-867,1,1554,2,1644,4,-97,-0,-4051,411,798487,609837,352721,142048,25168,89900,188650,31391,28243,3000,148,20038,788,15752,1116,2382,0,10839,9623,0,9623,1216,24,1192,29557,0,0,0,29478,79,4728,92097,82311,0,0,9786,798487,865552,76985,769,0,76216,69678,46782,37651,9131,22896,21829,1067,369268,365166,4102,41393,613,40780,308228,61935,12560,233733,-67065
1961,290423,28564,261859,184516,168575,15941,27620,49723,36268,49723,8558,3325,4116,1117,22013,6609,14692,179,534,36268,19419,1421,15429,15429,15552,15429,-123,12792,40441,28564,-723,1639,2759,2759,13352,4271,3083,1100,88,-1210,301,-1656,132,13,0,102,-6,108,2428,0,0,0,2420,8,468,7293,7892,0,0,-599,84326,4720,325,0,4395,2696,1257,934,323,1439,1417,22,2361,2121,240,-831,127,-958,75380,5239,621,69520,-70974,-72175,728,1101,73733,271,1812,2031,-828,252,362,198,0,8,0,0,190,-0,66937,3,70387,-148,-3305,-1,-64927,-121551,828199,626707,362550,145294,27234,91629,201492,36009,31673,4100,236,18828,1089,14096,1248,2395,0,10949,9617,0,9617,1332,33,1299,32176,0,0,0,32088,88,5195,98334,88253,0,0,10081,828199,1016815,81705,1094,0,80611,72378,48039,38585,9454,24339,23247,1092,441868,437674,4194,37257,740,36517,383607,65676,13274,304657,-188616
1962,316808,29824,286984,199256,181160,18096,29869,57859,42905,57859,9254,3606,4383,1265,24207,7456,15973,158,620,42905,20591,1579,20735,20735,20861,20735,-126,17212,43576,29824,-840,4300,3649,3649,11969,4345,3570,900,-125,-1245,215,-1789,27,302,0,899,773,126,2777,0,0,174,2593,10,554,4639,4519,0,0,120,13067,4136,104,0,4032,6430,4023,3641,382,2407,2320,87,585,369,216,-2758,28,-2786,4674,2935,1081,658,-1098,-2129,843,1801,4747,26,3008,1445,570,106,890,-297,0,-12,0,-6,-280,0,-11112,-8,-13729,92,2532,1,13823,32555,862707,649543,371962,151692,29096,96793,213164,40354,34564,5000,790,17583,1304,12307,1275,2697,0,11836,10390,0,10390,1446,54,1392,34668,0,0,168,34401,99,5749,102974,92772,0,0,10202,862707,1018768,85841,1198,0,84643,78800,52062,42226,9836,26738,25567,1171,428816,424314,4502,37029,768,36261,388282,68611,14355,305316,-156061
1963,337829,31340,306490,210106,190566,19540,31667,64716,48843,64716,10168,4078,4511,1579,26041,8305,16955,180,601,48843,22754,1595,24494,24494,24582,24494,-88,18337,46432,31340,-793,4037,6245,6245,12015,-509,-987,687,-209,3909,-335,2821,333,1090,0,1089,955,134,2559,0,-640,16,3183,0,355,4612,6308,0,0,-1696,18715,3541,-230,0,3771,7233,4531,3424,1107,2702,2673,29,-143,-341,198,-1494,127,-1621,9578,7365,1389,824,-6700,-10269,795,1935,12944,54,2488,1039,276,449,726,3302,0,-1,3306,19,-22,-0,38786,8,41806,-56,-2971,-0,-32996,-18683,901524,673043,381280,158637,31624,101502,228481,39845,33427,5687,731,21492,969,15128,1608,3787,0,12924,11345,0,11345,1579,60,1519,50531,0,12666,203,37562,100,6105,97584,99080,0,0,-1496,901524,1076268,89382,968,0,88414,86014,56566,45623,10942,29448,28240,1208,470423,465779,4644,32565,895,31670,397884,75976,15744,306164,-174744
1964,364523,33252,331271,225657,204546,21111,33878,71736,53723,71736,10841,4437,4875,1529,28854,9086,18871,247,651,53723,23888,1871,27965,27965,28046,27965,-81,22360,51848,33252,-919,4683,5686,5686,12873,661,-426,984,103,-637,725,-647,-608,-107,0,1408,1245,163,3012,0,-453,37,3426,2,329,8100,8542,0,0,-442,22321,4151,157,0,3994,9796,6550,4818,1732,3246,3206,40,1396,1145,251,-1086,154,-1240,8063,6959,467,637,-9448,-12111,920,1609,15134,-494,11599,8696,1218,502,1184,1630,0,0,1631,13,-14,-0,75777,-3,79031,-107,-3146,0,-62547,-46612,953008,710024,399403,168605,34152,107863,242984,40506,32738,6671,1097,20855,1694,14481,1000,3680,0,14332,12590,309,12281,1742,84,1658,55174,0,13844,253,40974,103,6434,105683,107622,0,0,-1939,953008,1174364,93533,1125,0,92408,95641,62949,50264,12685,32692,31447,1245,550743,545955,4788,28333,1049,27284,406114,82924,16211,306979,-221356
1965,400741,35828,364913,245400,222158,23242,36022,83491,62725,83491,11299,4642,4991,1666,32065,9938,21186,271,670,62725,27137,2102,33486,33486,33567,33486,-81,31808,61698,35828,-772,6710,1759,1759,26111,2321,311,2322,-312,-1099,-324,-1933,238,920,0,1429,1229,200,4702,0,46,51,4597,8,425,18333,13270,0,0,5063,36594,4524,-328,0,4852,15782,13035,10877,2158,2747,2657,90,343,-28,371,1215,154,1061,14731,11721,2083,927,-10483,-7525,775,2697,12242,-1245,15001,11577,957,698,1772,7203,0,220,1258,26,5699,-0,74515,-6,77885,-55,-3309,-0,-52310,-26268,1037845,761547,423994,182462,37500,117591,276298,42827,33053,8993,781,19756,1370,12548,1238,4600,0,15981,13819,593,13226,2162,88,2074,66859,0,15148,330,51270,111,6859,124016,120892,0,0,3124,1037845,1285469,98057,797,0,97260,111469,76035,61141,14894,35434,34105,1329,628916,623812,5104,26236,1203,25033,420791,94592,18294,307905,-247624
1966,440080,39392,400688,272851,245240,27611,36973,90864,68619,90864,12026,5316,4756,1954,34271,11728,21507,263,773,68619,29492,2617,36510,36510,36593,36510,-83,43589,71949,39392,-960,11993,-6996,-6996,16496,-968,-682,-390,104,-1184,1482,-1494,-211,-961,0,700,473,227,8932,0,3793,141,4972,26,576,8440,12376,0,0,-3936,38784,11039,825,0,10214,13880,10192,8574,1618,3688,3580,108,1516,1259,257,3352,46,3306,8997,9118,-880,759,-22288,-10407,963,1814,15291,-2107,23073,15701,5352,753,1271,-3926,0,-68,-2094,-46,-1718,0,-73189,-3,-77180,152,3840,0,92336,118521,1121960,833092,454030,204456,41644,132962,288868,41859,32371,8603,885,18572,2852,11054,1027,3639,0,16613,14292,895,13397,2321,114,2207,71932,0,16847,425,54524,136,7435,132457,133268,0,0,-811,1121960,1251063,109096,1622,0,107474,125266,86137,69715,16422,39129,37695,1434,553404,547891,5513,33427,1249,32178,429870,103800,17414,308656,-129103
1967,463192,43452,419740,291064,261618,29446,39311,89364,65108,89364,13108,5994,5153,1961,37365,13650,22426,351,938,65108,27828,2703,34577,34577,34662,34577,-85,38103,73870,43452,-91,7776,-3441,-3441,14314,3695,2532,1079,84,-1701,1100,-2440,-22,-339,0,235,59,176,3227,0,-1280,124,4366,17,681,8177,8330,0,0,-153,35525,16070,1412,0,14658,6365,6708,6555,153,-343,-465,122,2946,2397,549,4958,221,4737,5186,5923,-4189,3452,-21212,-14442,92,1683,17770,-1554,24270,15066,6675,1569,961,5191,0,67,3344,86,1695,-1,156088,11,161933,-34,-5820,-0,-126626,-106406,1207166,898793,483207,225542,46791,143253,308373,45554,34817,9682,1055,16871,3952,8614,1005,3300,0,16915,14351,670,13681,2564,112,2452,80284,0,18911,635,60585,153,8116,140633,141598,0,0,-965,1207166,1442675,125166,3034,0,122132,131655,92844,76269,16575,38810,37243,1567,718249,712221,6028,32564,1470,31094,435041,109723,13225,312093,-235509
1968,510944,48092,462853,320868,288122,32746,45535,96449,69525,96449,15463,7308,5502,2653,42388,16402,24540,391,1054,69525,33534,2937,33054,33054,33166,33054,-112,39532,80338,48092,585,6701,-6367,-6367,32126,2620,2714,-626,532,2403,1147,345,429,482,0,1233,566,667,8570,0,3579,178,4781,32,806,16494,18525,0,0,-2031,56717,14108,1215,0,12893,18361,12823,10363,2460,5538,5395,143,455,-159,614,6805,201,6604,16988,16490,1105,-607,-24591,-13943,-586,1216,18224,-3651,38035,27667,8845,1974,-452,4417,0,103,1619,32,2662,0,126359,-8,131088,-94,-4627,-0,-83907,-64685,1325557,980641,524866,250075,52548,153153,344916,48174,37531,9056,1587,19274,5099,8959,1434,3782,0,18251,14917,1121,13796,3334,582,2752,93167,0,24109,845,68028,185,8923,157127,160123,0,0,-2996,1325557,1625751,139274,4249,0,135025,149233,104927,86632,18296,44306,42604,1702,849698,843150,6548,34742,1671,33071,452804,126213,14330,312261,-300194
1969,554625,53484,501141,356064,318844,37220,50181,94896,65046,94896,18897,9855,5971,3071,48748,22306,24997,352,1093,65046,33344,3047,28655,28655,28732,28655,-77,43416,89280,53484,-332,7952,-14684,-14684,38477,-227,5591,-5404,-414,-1524,2529,-3313,242,-982,0,3298,2421,877,13001,0,7525,55,5352,69,1170,22759,22823,0,0,-64,71028,13157,1107,0,12050,20757,19197,9918,9279,1560,1276,284,4302,3406,896,11712,39,11673,21100,19517,-1702,3285,-32551,-8004,332,3661,17867,-5870,50338,37452,9025,2939,922,225,0,130,-3065,-155,3315,0,-136872,-7,-141481,167,4449,0,187434,208162,1467875,1084257,580412,276657,59291,167897,383618,47947,43122,3652,1173,17750,7628,5646,1676,2800,0,21679,17338,3311,14027,4341,1237,3104,106262,0,28569,745,76695,253,10093,179887,182946,0,0,-3059,1467875,1559906,152431,5356,0,147075,169825,124119,96543,27576,45706,43727,1979,712686,705075,7611,50902,1710,49192,474062,145730,12628,315704,-92031
1970,572890,59260,513630,374485,334938,39547,54249,84896,51845,84896,21656,11873,6317,3466,54707,28505,24612,371,1219,51845,27286,3182,21377,21377,21502,21377,-125,35511,92332,59260,14,2425,-14009,-14009,22926,2257,937,1695,-375,1306,1761,637,-467,-625,0,-1436,-2442,1006,10333,0,3736,-22,6840,-221,922,9544,8443,0,0,1101,56137,21932,1777,0,20155,20116,6585,6115,470,13531,13238,293,6808,5709,1099,9641,148,9493,-2360,7872,-2632,-7600,-33211,-12008,-15,657,19202,-6552,56428,41140,12849,3173,-735,3961,0,138,353,-78,3548,-0,-6060,14,-8376,78,2226,0,66449,75943,1593967,1183462,638015,303944,65365,176138,410505,50204,44059,5347,798,19056,9389,6283,1209,2175,0,20381,14896,234,14662,5485,1962,3523,120417,0,32658,645,87083,31,11016,189431,191389,0,0,-1958,1593967,1610055,174363,7133,0,167230,193294,130694,102658,28035,62600,60314,2286,711270,702482,8788,62767,1858,60909,468361,153602,9996,304763,-16088
1971,618096,64732,553364,396189,353484,42705,59516,97659,63700,97659,23481,12578,7343,3560,57440,30082,25488,459,1411,63700,29995,3592,30113,30113,30252,30113,-139,36510,95416,64732,61,5765,-6258,-6258,40171,3120,-1478,4162,436,5362,1886,2774,-298,1000,0,4754,3495,1259,3402,0,238,-50,3210,4,1076,22457,12412,0,0,10045,65997,18336,-886,86,19136,12029,6912,5019,1893,5117,5102,15,11707,11446,261,7224,341,6883,16701,13626,3090,-15,-25826,-14711,-86,358,19567,-4584,64389,52878,8797,2141,573,9241,0,209,3526,95,5412,-1,99996,6,110110,-175,-9946,-0,-26366,-10826,1749131,1289214,707036,325368,69750,187060,459917,53324,42581,9509,1234,24418,11275,9057,911,3175,0,25344,18391,1077,17314,6953,3080,3873,132853,0,36422,690,95705,36,12091,211887,203801,0,0,8086,1749131,1776045,192699,6247,86,186366,204855,136925,107678,29248,67930,65623,2307,832912,824038,8874,60043,2199,57844,485536,167228,13086,305222,-26914
1972,685948,70188,615760,439923,389878,50046,63665,112172,77040,112172,27342,13910,8442,4990,62474,32389,28114,474,1497,77040,33795,3885,39360,39360,39554,39360,-194,45583,107864,70188,328,7579,-6029,-6029,67549,5676,2357,2381,938,1909,2960,-2176,125,1000,0,4203,2295,1908,-945,0,-2264,-1,1315,5,1886,54820,26406,0,0,28414,78815,13751,721,548,12482,27627,17794,13926,3868,9833,9702,131,11762,11024,738,-1057,523,-1580,26733,23145,2435,1153,-11266,2675,-913,2215,5237,-6610,61421,49501,8138,2640,1143,25085,0,722,5559,43,18760,0,191957,27,197886,-131,-5823,-0,-105451,-63222,1956679,1404128,775700,350690,75345,202392,552551,59000,44938,11890,2172,26327,14235,6881,1036,4175,0,30269,20686,2688,17998,9583,4898,4685,156270,0,39717,732,115780,41,13977,266708,230207,0,0,36501,1956679,2046814,206450,6968,634,198848,232848,155052,121936,33116,77796,75331,2465,1042429,1032948,9481,53160,2722,50438,511927,190373,15521,306033,-90135
1973,768837,78180,690657,495099,437318,57782,70075,125483,88823,125483,39186,18113,12489,8584,75846,40059,33239,760,1787,88823,40409,4504,43910,43910,44067,43910,-157,62894,125800,78180,2805,12470,-18827,-18827,90572,7267,1377,4733,1157,-2896,641,-4399,999,-137,0,10185,7968,2217,6727,0,15177,235,-8695,10,1993,67296,40874,0,0,26422,131233,12804,1414,1796,9594,67336,35777,28076,7701,31559,31066,493,9894,7827,2067,5596,-25,5621,35603,38055,3784,-6236,-40662,-1063,-3006,4208,21835,-19569,109534,83912,13547,5619,6455,636,0,327,-8037,-192,8538,0,-217511,53,-231209,28,13614,0,327680,370684,2241083,1597325,883295,389100,84044,240886,643758,66267,46315,16623,3329,23431,14876,2482,2035,4038,0,42545,30418,11262,19156,12127,7448,4679,163306,0,46857,775,115623,51,15970,332239,269317,0,0,62922,2241083,1960534,219254,8382,2430,208442,290073,180766,140013,40752,109307,106296,3011,821142,809566,11576,72368,2697,69671,557697,228428,19305,309964,280549
1974,830041,91384,738657,542933,478533,64400,74430,121293,77044,121293,51530,23793,19404,8333,95779,51802,40936,908,2133,77044,42849,3739,30457,30457,30680,30457,-223,70034,141534,91384,5237,14647,-39355,-39355,66905,4792,1151,3841,-200,7011,4126,1351,918,616,0,-3749,-4657,908,31320,0,23382,310,7614,14,2173,25358,33258,0,0,-7900,112903,25574,4131,1648,19795,34734,34617,24963,9654,117,-852,969,7618,4016,3602,7768,-27,7795,37209,26396,7357,3456,-45998,114556,-5265,88244,6643,-38221,241743,156040,64903,8717,12083,-17032,0,0,-16763,-269,0,0,-240480,1,-255926,136,15310,0,465192,610427,2631825,1944114,1062857,479746,95674,305837,687711,73182,47772,20464,4946,26740,16520,2613,2953,4654,0,38796,25761,5485,20276,13035,8048,4987,177594,0,53476,816,123237,65,18143,353256,245519,0,0,107737,2631825,1740849,244828,12513,4078,228237,324375,215067,164975,50091,109308,105327,3981,572970,557656,15314,95444,2670,92774,503232,165205,24516,313511,890976
1975,898280,107724,790556,569021,495060,73961,80194,141341,92162,141341,47923,27657,11492,8774,97102,57709,36063,1027,2303,92162,41908,4716,45538,45538,45779,45538,-241,28088,144178,107724,-17,-8349,17691,17691,20395,14637,10500,3666,471,9666,3784,7413,-538,-993,0,-2437,1167,-3604,2963,0,-9305,-74,12324,18,2289,-6723,22061,0,2000,-30784,56387,26118,-2897,2600,26415,-11596,-15495,-18103,2608,3899,3446,453,11661,9916,1745,-8130,995,-9125,38333,9581,-2224,30976,-35992,-193370,18,-150250,53683,-10544,150499,90230,55404,5724,-858,16810,0,0,16661,148,0,-0,169770,0,187325,-3,-17554,-0,-2461,-150052,2970200,2132839,1170930,551086,103649,307174,837361,85024,58272,24130,2622,30745,8371,14264,3264,4846,0,40929,22401,1189,21212,18528,13044,5484,197367,0,60832,890,135561,84,20433,462864,271441,0,2000,189423,2970200,2229276,270946,9616,6678,254652,313471,199572,146873,52700,113899,109465,4434,771953,754897,17056,69760,3665,66095,803146,176372,22292,604482,740924
1976,1014666,118272,896394,640004,554586,85418,86668,169722,119259,169722,54266,28293,17233,8740,104729,55856,45008,1451,2414,119259,53495,6700,59064,59064,59262,59064,-198,61465,161801,118272,1982,15954,-2203,-2203,75626,10165,4695,4653,817,8409,2140,7283,-396,-618,0,2586,2558,28,4463,0,-5157,-32,9633,19,3478,46525,31008,0,1000,14517,123857,26604,1433,2485,22686,17487,9261,-3750,13011,8226,7391,835,13283,10555,2728,10261,465,9796,56222,18808,5498,31916,-48231,-47629,-2047,-13667,46028,-14113,148589,101069,38648,5513,3362,72401,0,2219,11530,106,58546,0,154307,603,161960,345,-8602,-1,66683,78316,3340681,2355293,1292062,609268,113360,340602,985388,95189,62967,28783,3439,39154,10511,21547,2868,4228,0,45734,24959,1459,23500,20775,12531,8244,272011,0,67205,964,203740,102,23912,509389,302449,0,3000,203940,3340681,2521440,297550,11049,9163,277338,331564,205790,141923,63866,125774,116902,8872,961541,927412,34129,71419,4130,67289,859366,195180,27790,636396,819241
1977,1147401,132560,1014841,723326,621569,101757,94631,196885,140638,196885,61534,31870,20507,9157,117780,62374,51418,1451,2537,140638,60578,8706,71354,71354,71515,71354,-161,77718,193035,132560,1059,16185,-6203,-6203,108247,12670,3750,6673,2247,-6166,-1121,-4991,-196,142,0,4490,1517,2973,22190,200,12895,-129,9204,20,4523,70540,43957,0,1000,25583,151292,31117,1639,6670,22808,42083,27564,13782,13782,14519,13796,723,5107,2739,2368,2245,329,1916,70740,31867,1344,37529,-43044,-21280,-1258,1121,36841,-15698,170622,115436,45285,5892,4009,3793,0,438,-8065,-45,11466,-0,-100055,773,-110975,3381,6767,0,274469,324704,3716622,2619194,1430747,687076,124876,376495,1097428,107859,66717,35456,5686,32988,9390,16556,2672,4370,0,52933,26476,2115,24361,26457,15155,11302,297556,200,72035,790,224410,121,28435,577657,346406,0,4000,227251,3716622,2572677,330331,12808,17377,300146,374573,233153,155505,77648,141420,131052,10368,859054,819176,39878,80430,4459,75971,928289,227047,29134,672108,1143945
1978,1303931,150152,1153779,829500,708962,120537,102726,221554,160201,221554,72773,39199,20047,13527,134126,72954,55973,2356,2844,160201,67556,9203,83442,83442,83606,83442,-164,105441,233470,150152,207,21916,-21835,-21835,133782,11655,6298,2726,2631,-1022,122,-1486,101,241,0,4590,2531,2059,13259,410,-455,-176,13458,22,5714,99586,60875,0,1325,37386,201151,31316,2691,7664,20961,49374,35252,19362,15890,14122,12571,1551,5387,-105,5492,16,811,-795,115058,40788,4921,69349,-67370,-21152,-206,880,45535,-23709,230745,156318,52391,8642,13396,23705,0,907,765,4,22030,0,29423,1060,37264,4549,-13450,0,225028,287482,4234677,2979762,1620823,783664,139760,435516,1254915,119514,73015,38182,8317,31966,9512,15070,2773,4611,0,59006,29007,2509,26498,29999,16976,13023,333614,610,72345,618,259898,143,34148,676667,407281,0,5325,264061,4234677,2803251,361647,15499,25041,321107,420940,264191,174642,89550,156749,143770,12979,906254,856335,49919,66996,5270,61726,1047414,271823,34055,741536,1431426
1979,1450327,172444,1277883,942401,802507,139894,108757,226725,163211,226725,100174,51741,26965,21468,163688,91416,64604,3679,3990,163211,70619,9028,83564,83564,83807,83564,-243,117657,274484,172444,2384,13233,-33851,-33851,169745,10053,6058,2232,1763,-2650,74,-1598,-973,-153,0,8172,2407,5765,26638,2390,2009,350,21856,33,5662,121870,72374,0,1100,48396,245541,36288,9019,9987,17282,51771,47841,30808,17033,3930,1941,1989,-627,-7798,7171,-9749,926,-10675,167857,55555,6931,105371,-75795,-2697,-2914,2024,41945,-40138,304113,196068,71796,11385,24865,35095,0,937,8953,92,25113,-0,165850,1431,166246,5986,-7813,0,173359,254468,4900535,3440780,1860176,906981,159871,513752,1459755,129567,79073,40414,10080,29316,9586,13472,1800,4458,0,68311,31414,3116,28298,36897,20202,16695,394410,3000,83307,1060,306867,176,39810,798341,479655,0,6425,312261,4900535,3214640,397935,24518,35028,338389,473447,311095,205212,105883,162351,145952,16399,1077859,1014783,63076,49434,6196,43238,1215965,327378,40986,847601,1685895
1980,1574528,198860,1375668,1030691,874674,156017,121536,223441,138609,223441,116350,67211,27968,21171,201182,119196,72619,3205,6162,138609,68203,9636,60770,60770,61046,60770,-276,104050,299965,198860,3577,-631,-43004,-43004,144214,3811,-413,4608,-384,5080,-454,225,405,4904,0,14790,1874,12916,27893,3993,8001,273,15582,44,4782,87858,49698,0,1100,37060,282416,42512,3968,10864,27680,29541,36646,27016,9630,-7105,-9778,2673,20708,10428,10280,41517,1370,40147,148138,29142,2878,116118,-138202,-54432,-3716,2349,95198,-42133,340987,200041,105658,13824,21464,55293,0,1196,22571,174,31353,-0,309174,3916,321312,15062,-31114,-0,87105,93720,5585843,3926581,2112581,1054348,182934,576718,1659262,133378,78660,45022,9696,34396,9132,13697,2205,9362,0,84297,33288,3887,29401,51009,28701,22308,476401,6993,113879,1507,353802,220,44592,886199,529353,0,7525,349321,5585843,3806229,439987,28026,45892,366069,505669,346436,232227,114209,159233,136245,22988,1434941,1346523,88418,59836,7566,52270,1365796,356520,43864,965412,1779614
1981,1789067,229084,1559983,1139850,964258,175592,146651,273482,161724,273482,132528,89622,26524,16382,244287,154792,79026,2725,7744,161724,65994,10659,85071,85071,85273,85071,-202,138889,343052,229084,5043,19878,-53616,-53616,204945,-8347,-20986,9949,2690,8840,-933,4955,3574,1244,0,13382,-1182,14564,23945,11423,6402,256,5813,51,3804,163321,44770,0,1100,117451,302437,52931,14696,13431,24804,76748,60134,32178,27956,16614,11906,4708,2461,-13452,15913,18137,387,17750,152160,26903,-4000,129257,-97492,-19735,-5042,4557,43876,-24626,315582,221830,74323,14045,5386,-1183,0,497,-11279,-139,9736,1,-82177,2214,-107434,10705,12337,-0,396576,462114,6268217,4405193,2397012,1171874,209699,626608,1863024,125031,57674,54971,12386,43236,8199,18652,5779,10606,0,98176,32106,1784,30322,66070,37176,28894,498664,18416,109002,1624,369351,271,48396,1049521,574123,0,8625,466773,6268217,4026489,492918,42722,59323,390873,578682,405471,264405,141066,173211,143301,29910,1340673,1225637,115036,90310,7953,82357,1523906,383423,39864,1100619,2241728
1982,1854861,253880,1600981,1183260,994953,188307,152915,264806,142284,264806,141222,97614,31614,11994,263744,172468,85672,-2955,8559,142284,48763,8119,85402,85402,85601,85402,-199,80078,349906,253880,3344,-19292,5523,5523,93856,16624,10345,8602,-2323,1223,-251,2359,-2457,1572,0,4457,1116,3341,19863,615,3074,1113,15030,31,2818,48871,-5008,0,1100,52779,154983,39668,-6125,15143,30650,61162,65293,60432,4861,-4131,-9587,5456,4611,1938,2673,-7971,1918,-9889,57512,10740,-4279,51051,-61127,-21144,-3590,41591,66650,-7505,151378,92644,43788,11253,3694,20808,0,2080,16599,333,1797,-1,128360,-8109,158904,10842,-33279,0,43827,108283,6617851,4640163,2546254,1240519,234876,618514,1977688,141655,68019,63573,10063,44459,7948,21011,3322,12178,0,104713,33222,2435,30787,71491,39594,31897,361821,19031,128675,3070,210743,302,51213,1273826,569115,0,9725,694986,6617851,4267840,533603,37614,74466,421523,626713,470197,324269,145927,156517,129260,27257,1473040,1386479,86561,49060,9871,39189,1585424,394163,35585,1155676,2350011
1983,1985900,264616,1721284,1250111,1044745,205366,168018,303155,178378,303155,146982,98086,28925,19971,271759,172137,92174,-1156,8605,178378,61721,9953,106704,106704,106742,106704,-38,96368,348268,264616,4702,8014,10374,10374,155170,32285,21554,6401,4330,20328,4240,9133,865,6090,0,2097,5391,-3294,21675,-7878,8280,1196,20068,9,3543,75242,57402,0,1100,16740,224634,34585,-839,9431,25993,62259,48454,25772,22682,13805,11291,2514,25366,20114,5252,45771,2140,43631,56653,7831,3061,45761,-69463,-77527,-5025,-109,79837,-7445,55768,26846,13139,10205,5580,54603,0,126,22322,235,31920,-0,185645,-1,223921,11123,-49400,0,-75273,-46058,6982070,4794609,2616850,1277332,260874,639553,2187461,173940,89573,69974,14393,64787,12188,30144,4187,18268,0,106936,38613,3248,35365,68323,41335,26988,437973,11153,159277,4501,262731,311,54756,1349069,626517,0,10825,711727,6982070,4678117,568188,36775,83897,447516,711790,521650,353041,168609,190140,160370,29770,1733450,1630514,102936,45430,12011,33419,1619259,401994,38646,1178619,2303953
1984,2226001,278952,1947049,1388208,1160092,228116,185003,373839,235073,373839,165335,110777,30262,24296,304101,194914,97467,1867,9854,235073,75940,10935,148198,148198,148206,148198,-8,187894,405888,278952,3573,57386,-39689,-39689,275375,11166,13125,-850,-1109,9224,-2446,6323,1132,4215,0,13085,3684,9401,40924,4909,13034,2847,20132,2,5137,195839,67603,0,1100,127136,260709,92028,21715,20542,49771,123366,105489,59260,46229,17877,11775,6102,-66449,-78853,12404,6443,902,5541,105321,34682,3521,67118,14667,8086,-3571,-46677,-54355,-3979,111888,78840,16967,8356,7727,-16834,0,-180,2702,-155,-19202,0,6157,2,1992,-3320,7483,-0,88897,245189,7543460,5097458,2755196,1343028,290589,708645,2446002,185106,102698,69124,13284,74011,9742,36467,5319,22483,0,119841,42297,3919,38378,77544,53143,24401,462243,16062,175013,7193,263661,314,59893,1544908,694120,0,11925,838863,7543460,4994318,660216,58490,104439,497287,838756,627140,412301,214839,211616,175742,35874,1665673,1553653,112020,108691,12913,95778,1720982,436676,42167,1242139,2549142
