date,FL754090005.Q,FL754010005.Q,FL753013003.Q,FL754016005.Q,FL754012205.Q,FL753025003.Q,FL752050005.Q,LM754022005.Q,FL753069603.Q,LM753061103.Q,LM753061703.Q,LM753062003.Q,LM753063005.Q,FL754023005.Q,FL753068005.Q,FL753069703.Q,FL753065005.Q,FL753064103.Q,FL753093005.Q,FL754194005.Q,FL754190005.Q,FL754110005.Q,FL754116005.Q,FL754112205.Q,FL753127005.Q,FL753130005.Q,FL752150005.Q,FL753169175.Q,LM753192305.Q,FL753193005.Q,FL753181115.Q,LM753192103.Q,FL753194503.Q,FL753139105.Q
1945:Q4,458,75,0,62,13,0,1,269,13,236,0,8,12,112,81,31,0,1,0,613,473,125,106,19,215,61,5,31,36,0,140,140,0,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,546,96,0,76,20,0,2,252,25,192,0,14,21,195,150,45,0,1,0,637,496,183,177,6,152,77,1,46,37,0,141,141,0,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,622,118,0,90,28,0,2,251,32,168,0,20,31,250,198,52,0,1,0,754,610,323,310,13,138,57,2,53,37,0,144,144,0,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,756,152,0,111,41,0,2,299,42,191,0,26,40,302,250,52,0,1,0,896,751,498,485,13,111,50,2,52,38,0,145,145,0,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1079,221,0,159,62,0,3,415,56,265,0,37,57,439,385,54,0,1,0,1229,1083,749,730,19,164,73,4,55,38,0,146,146,0,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1364,279,0,201,78,0,3,507,66,327,0,45,69,574,495,79,0,1,0,1538,1390,941,915,26,233,93,5,80,38,0,148,148,0,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1764,364,0,264,100,0,4,638,84,402,0,60,92,757,659,98,0,1,0,1964,1815,1256,1226,30,308,108,5,99,39,0,149,149,0,ND
1952:Q1,1983,415,0,300,115,0,5,693,98,433,0,64,98,836,744,92,0,2,32,1950,1801,1428,1395,33,348,118,5,93,39,-230,149,149,0,ND
1952:Q2,2172,455,0,327,128,0,6,754,103,471,0,71,109,907,824,83,0,2,48,2141,1989,1567,1533,34,382,132,5,84,39,-220,152,152,0,ND
1952:Q3,1974,404,0,286,118,0,5,672,77,425,0,67,103,852,761,91,0,2,39,1943,1789,1382,1352,30,344,146,4,92,40,-219,154,154,0,ND
1952:Q4,2078,435,0,311,124,0,6,722,97,445,0,71,109,885,787,98,0,2,28,2049,1891,1456,1424,32,360,160,4,99,41,-229,158,158,0,ND
1953:Q1,2230,458,0,336,122,0,5,682,87,415,0,71,109,865,774,91,0,2,218,2274,2114,1396,1366,30,654,173,4,92,42,-247,160,160,0,ND
1953:Q2,2020,432,0,306,126,0,5,709,84,423,0,80,122,892,806,86,0,2,-20,2065,1902,1428,1398,30,377,187,4,86,43,-223,163,163,0,ND
1953:Q3,2011,420,0,295,125,0,6,700,69,416,0,85,130,918,815,103,0,3,-36,2057,1890,1403,1373,30,361,199,4,104,43,-224,167,167,0,ND
1953:Q4,2121,458,0,325,133,0,6,758,90,435,0,92,141,958,843,115,0,3,-62,2168,2004,1479,1447,32,381,210,4,116,43,-229,164,164,0,ND
1954:Q1,2134,454,0,321,133,0,6,729,83,423,0,88,135,970,854,116,0,3,-28,2183,2016,1471,1439,32,388,224,4,117,44,-232,167,167,0,ND
1954:Q2,2206,467,0,330,137,0,6,728,81,440,0,82,125,1007,889,118,0,4,-6,2256,2086,1511,1479,32,405,237,4,119,44,-234,170,170,0,ND
1954:Q3,2255,469,0,329,140,0,7,716,70,449,0,78,119,1044,922,122,0,5,14,2308,2136,1537,1503,34,416,250,5,123,45,-240,172,172,0,ND
1954:Q4,2460,522,0,370,152,0,7,798,95,490,0,84,129,1146,971,175,0,5,-18,2516,2331,1696,1658,38,457,259,5,176,48,-310,185,185,0,ND
1955:Q1,2393,500,0,353,147,0,7,781,82,456,0,96,147,1101,940,161,0,5,-1,2451,2264,1640,1604,36,447,259,5,163,49,-299,187,187,0,ND
1955:Q2,2519,523,0,368,155,0,8,876,80,475,0,127,194,1115,984,131,0,6,-9,2580,2390,1752,1714,38,474,254,5,132,50,-277,190,190,0,ND
1955:Q3,2451,500,0,348,152,0,8,903,60,461,0,151,231,1093,959,134,0,6,-59,2514,2320,1703,1665,38,465,249,5,136,50,-288,194,194,0,ND
1955:Q4,2504,517,0,363,154,0,8,963,75,465,0,167,256,1079,951,128,0,6,-69,2570,2368,1750,1712,38,476,247,5,130,53,-293,202,202,0,ND
1956:Q1,2568,526,0,369,157,0,8,894,69,453,0,147,225,1098,966,132,0,6,36,2637,2431,1783,1745,38,487,258,5,133,53,-288,206,206,0,ND
1956:Q2,2751,561,0,393,168,0,9,888,71,481,0,133,203,1162,1025,137,0,6,125,2823,2615,1909,1866,43,516,277,6,138,54,-285,208,208,0,ND
1956:Q3,2924,591,0,413,178,0,9,866,65,508,0,116,177,1250,1089,161,0,6,202,3000,2790,2027,1982,45,544,294,6,163,55,-299,210,210,0,ND
1956:Q4,3003,616,0,433,183,0,10,855,81,518,0,101,155,1282,1089,193,0,6,234,3080,2873,2076,2029,47,559,303,6,195,54,-320,207,207,0,ND
1957:Q1,2962,607,0,426,181,0,10,831,69,484,0,110,168,1272,1068,204,0,7,235,3042,2832,2044,1997,47,547,291,7,206,54,-317,210,210,0,ND
1957:Q2,3082,631,0,444,187,0,10,847,68,501,0,110,168,1309,1113,196,0,7,278,3166,2956,2161,2108,53,565,272,8,198,55,-303,210,210,0,ND
1957:Q3,3041,617,0,433,184,0,10,811,49,489,0,108,165,1337,1098,239,0,8,258,3127,2916,2139,2086,53,597,251,9,242,55,-377,211,211,0,ND
1957:Q4,3072,637,0,453,184,0,11,785,63,487,0,93,142,1342,1081,261,0,9,288,3160,2958,2178,2121,57,638,239,10,264,52,-423,202,202,0,ND
1958:Q1,3126,628,0,440,188,0,11,753,52,473,0,90,138,1414,1108,306,0,9,311,3216,3014,2229,2171,58,585,228,10,309,53,-400,202,202,0,ND
1958:Q2,3297,650,0,451,199,0,11,788,59,501,0,90,138,1446,1176,270,0,9,393,3390,3187,2380,2317,63,552,226,11,273,53,-308,203,203,0,ND
1958:Q3,3345,649,0,447,202,0,11,750,43,482,0,89,136,1460,1204,256,0,10,465,3441,3237,2423,2357,66,589,224,11,259,53,-322,204,204,0,ND
1958:Q4,3345,667,0,466,201,0,11,797,72,510,0,85,130,1412,1173,239,0,10,448,3443,3219,2427,2361,66,618,221,12,241,58,-358,224,224,0,ND
1959:Q1,3502,686,0,485,201,0,11,793,67,513,0,84,129,1411,1200,211,0,10,591,3602,3377,2402,2339,63,819,226,11,213,58,-352,225,225,0,ND
1959:Q2,3753,719,0,518,201,0,12,798,67,518,0,84,129,1422,1225,197,0,11,791,3855,3628,2375,2315,60,1099,233,11,199,59,-348,227,227,0,ND
1959:Q3,3967,738,0,536,202,0,12,790,54,523,0,84,129,1463,1272,191,0,11,953,4071,3842,2357,2300,57,1372,240,11,193,60,-391,229,229,0,ND
1959:Q4,3486,698,0,494,204,0,12,823,82,526,0,85,130,1502,1272,230,0,11,440,3593,3360,2217,2164,53,1028,247,11,233,61,-437,233,233,0,ND
1960:Q1,3630,708,0,493,215,0,12,789,53,523,0,84,129,1529,1256,273,0,12,580,3739,3503,2329,2286,43,1055,256,9,276,61,-483,236,236,0,ND
1960:Q2,3866,756,0,528,228,0,12,790,61,519,0,83,127,1599,1323,276,0,13,696,3978,3738,2443,2409,34,1085,265,7,279,62,-403,240,240,0,ND
1960:Q3,3948,776,0,535,241,0,13,772,55,515,0,80,122,1744,1410,334,0,14,629,4063,3819,2568,2542,26,1109,276,6,337,63,-540,244,244,0,ND
1960:Q4,4100,836,0,581,255,0,13,803,99,507,0,78,119,1851,1446,405,0,15,582,4219,3975,2693,2676,17,1148,287,4,409,64,-630,244,244,0,ND
1961:Q1,4362,915,0,662,253,0,14,944,182,555,0,82,125,2282,1836,446,0,15,192,4486,4238,2926,2900,26,1168,298,7,451,65,-677,248,248,0,ND
1961:Q2,4655,938,0,687,251,0,16,985,167,603,0,85,130,2442,1988,454,0,16,258,4784,4533,3159,3123,36,1247,310,10,459,65,-717,251,251,0,ND
1961:Q3,4601,933,0,676,257,0,15,1078,160,680,0,94,144,2330,1846,484,0,16,229,4731,4478,3166,3133,33,1192,323,9,489,66,-767,253,253,0,ND
1961:Q4,4380,973,0,651,322,0,15,892,151,536,0,81,124,2307,1770,537,0,16,177,4512,4239,2942,2866,76,1229,330,7,542,71,-882,273,273,0,ND
1962:Q1,4373,916,0,632,284,0,14,1106,128,682,0,117,179,2147,1647,500,0,16,174,4505,4230,2938,2888,50,1280,334,5,505,72,-904,275,275,0,ND
1962:Q2,4421,890,0,645,245,0,13,1389,145,827,0,165,252,1949,1481,468,0,17,163,4554,4276,2934,2910,24,1323,334,3,473,72,-863,278,278,0,ND
1962:Q3,4393,894,0,639,255,0,13,1265,139,693,0,171,262,2044,1588,456,0,17,160,4531,4251,2939,2926,13,1242,333,2,461,73,-799,280,280,0,ND
1962:Q4,4496,957,0,662,295,0,13,1054,148,506,0,158,242,2131,1601,530,0,16,325,4637,4375,3048,2943,105,1194,335,3,535,68,-808,262,262,0,ND
1963:Q1,4534,956,0,674,282,0,15,1071,163,521,0,153,234,2275,1757,518,0,17,200,4681,4417,3112,3039,73,1113,348,6,523,69,-754,264,264,0,ND
1963:Q2,4644,958,0,687,271,0,16,1037,165,538,0,132,202,2442,1903,539,0,17,174,4797,4533,3174,3134,40,1127,365,9,545,69,-756,264,264,0,ND
1963:Q3,4666,987,0,686,301,0,18,804,157,422,0,89,136,2646,2104,542,0,17,194,4825,4561,3244,3191,53,1055,382,5,547,69,-741,264,264,0,ND
1963:Q4,4756,1025,0,701,324,0,18,735,159,399,0,70,107,2626,2048,578,0,17,335,4918,4642,3274,3176,98,1097,397,10,584,72,-792,276,276,0,ND
1964:Q1,4862,1042,0,726,316,0,18,745,180,398,0,66,101,2696,2076,620,0,17,344,5028,4752,3339,3234,105,1133,405,14,627,72,-838,276,276,0,ND
1964:Q2,5022,1051,0,744,307,0,18,742,176,396,0,67,103,2759,2129,630,0,18,434,5192,4914,3402,3290,112,1334,411,18,636,72,-959,278,278,0,ND
1964:Q3,5290,1104,0,783,321,0,14,883,188,485,0,83,127,2829,2194,635,0,19,441,5452,5173,3538,3472,66,1604,418,17,641,73,-1118,279,279,0,ND
1964:Q4,5405,1181,0,802,379,0,74,811,167,442,0,80,122,2738,2061,677,0,20,581,5705,5411,3721,3639,82,1832,423,22,684,77,-1348,294,294,0,ND
1965:Q1,5803,1215,0,871,344,0,32,854,221,433,0,79,121,2794,2129,665,0,24,884,6012,5716,3988,3900,88,1987,442,18,672,77,-1468,296,296,0,ND
1965:Q2,6052,1240,0,888,352,0,47,823,196,425,0,80,122,2723,2052,671,0,27,1192,6297,6003,4258,4161,97,1852,460,13,678,76,-1334,294,294,0,ND
1965:Q3,5752,1275,0,861,414,0,49,906,199,482,0,89,136,2850,2187,663,0,28,644,6007,5716,3868,3815,53,1632,477,13,669,76,-1019,291,291,0,ND
1965:Q4,5451,1249,0,821,428,0,58,930,183,509,0,94,144,2570,1892,678,0,30,614,5729,5436,3533,3437,96,1661,498,20,685,76,-1037,293,293,0,ND
1966:Q1,5483,1249,0,840,409,0,48,885,204,458,0,88,135,2632,1954,678,0,33,636,5743,5453,3388,3307,81,1649,516,16,684,76,-876,290,290,0,ND
1966:Q2,5868,1309,0,894,415,0,66,814,201,408,0,81,124,2614,1930,684,0,36,1029,6171,5877,3453,3386,67,1956,536,12,691,76,-847,294,294,0,ND
1966:Q3,6141,1374,0,938,436,0,46,955,229,483,0,96,147,2754,2080,674,0,38,974,6404,6107,3705,3584,121,1948,535,24,681,77,-863,297,297,0,ND
1966:Q4,6230,1399,0,952,447,0,38,977,240,459,0,110,168,3018,2297,721,0,41,757,6479,6200,3907,3740,167,1844,536,34,728,73,-922,279,279,0,ND
1967:Q1,6085,1593,0,950,643,0,11,1017,278,435,0,120,184,3121,2380,741,0,44,299,6280,5997,3891,3677,214,1780,562,33,748,73,-1090,283,283,0,ND
1967:Q2,6549,1679,0,1011,668,0,24,1050,266,407,0,149,228,3183,2357,826,0,46,567,6776,6492,3874,3615,259,2188,587,33,834,74,-1098,284,284,0,ND
1967:Q3,6818,1916,0,1050,866,0,31,1252,275,491,0,192,294,3265,2436,829,0,49,305,7067,6781,4159,3959,200,2100,615,30,837,74,-1034,286,286,0,ND
1967:Q4,7023,2047,0,1076,971,0,63,1389,261,576,0,218,334,3285,2422,863,0,52,187,7347,7051,4396,4261,135,1974,647,27,872,77,-942,296,296,0,ND
1968:Q1,7657,2334,0,1170,1164,0,49,1420,286,590,0,215,329,3441,2574,867,0,55,358,7956,7658,4591,4432,159,2333,687,31,876,77,-937,298,298,0,ND
1968:Q2,8344,2638,0,1269,1369,0,51,1412,303,608,0,198,303,3532,2675,857,0,59,652,8651,8350,4772,4586,186,3007,730,35,866,78,-1138,301,301,0,ND
1968:Q3,7617,2694,0,1182,1512,0,48,1408,323,630,0,180,275,3664,2799,865,0,62,-259,7922,7618,4904,4686,218,2094,763,41,874,79,-1137,304,304,0,ND
1968:Q4,8549,2678,0,1300,1378,0,56,1361,318,620,0,167,256,3654,2768,886,0,64,736,8876,8565,5029,4806,223,3105,801,48,894,81,-1393,311,311,0,ND
1969:Q1,9471,3048,0,1449,1599,0,66,1401,359,622,0,166,254,3908,3015,893,0,64,984,9827,9513,5402,5127,275,4940,856,60,902,82,-2729,314,314,0,ND
1969:Q2,9852,3358,0,1526,1832,0,92,1424,391,623,0,162,248,4183,3207,976,0,64,731,10268,9949,5724,5407,317,5048,877,71,986,83,-2840,319,319,0,ND
1969:Q3,10495,3566,0,1648,1918,0,83,1482,451,631,0,158,242,4617,3571,1046,0,68,679,10898,10574,6065,5710,355,5326,955,77,1057,84,-2990,324,324,0,ND
1969:Q4,10206,3538,0,1645,1893,0,92,1572,503,641,0,169,259,4973,3883,1090,0,72,-41,10633,10338,6413,6013,400,3093,1032,87,1101,77,-1465,295,295,0,ND
1970:Q1,12132,4215,0,2005,2210,0,118,1322,643,350,0,130,199,5794,4724,1070,0,76,607,12625,12325,6559,6080,479,7045,1206,78,1081,78,-3722,300,300,0,ND
1970:Q2,12283,4756,0,2051,2705,0,160,1419,638,394,0,153,234,5888,4693,1195,0,81,-21,12880,12576,6655,6134,521,6663,1296,80,1207,79,-3404,304,304,0,ND
1970:Q3,13227,5017,0,2290,2727,0,123,1674,807,488,0,150,229,6888,5718,1170,0,85,-560,13748,13440,6640,6188,452,7940,1365,79,1181,80,-3845,308,308,0,ND
1970:Q4,13715,5107,0,2408,2699,0,116,2281,873,497,0,360,551,7529,6117,1412,0,89,-1407,14216,13911,6908,6252,656,7273,1408,107,1426,79,-3290,305,305,0,ND
1971:Q1,14137,5594,0,2470,3124,0,152,1749,841,458,0,178,272,7363,5928,1435,0,91,-812,14696,14387,6703,6284,419,8853,1464,103,1449,80,-4265,309,309,0,ND
1971:Q2,14902,6776,0,2601,4175,0,264,1505,821,277,0,161,246,7348,5819,1529,0,94,-1085,15668,15354,6939,6431,508,10450,1502,114,1544,81,-5276,314,314,0,ND
1971:Q3,15865,7003,0,2749,4254,0,215,1582,877,277,0,169,259,7797,6167,1630,0,89,-821,16482,16164,7531,6721,810,9805,1616,211,1646,83,-4728,318,318,0,ND
1971:Q4,15495,6248,0,2721,3527,0,152,1630,944,263,0,167,256,8160,6582,1578,0,85,-780,15948,15604,8731,6967,1764,7426,1668,518,1594,90,-4423,344,344,0,ND
1972:Q1,16127,5394,0,2894,2500,0,301,1950,1014,466,70,158,242,8619,7022,1597,0,101,-238,16900,16551,11044,6743,4301,3152,1765,866,1613,91,-1980,349,349,0,ND
1972:Q2,17330,6696,0,3106,3590,0,393,1869,1011,369,140,138,211,8442,7028,1414,0,108,-178,18320,17967,12994,7195,5799,1861,1841,665,1428,92,-914,353,353,0,ND
1972:Q3,19006,7505,0,3385,4120,0,344,2125,1126,478,210,123,188,9068,7748,1320,0,108,-144,19894,19537,14871,7624,7247,1706,1567,1093,1334,93,-1127,357,357,0,ND
1972:Q4,22805,8925,0,4390,4535,0,443,2425,1203,480,271,138,333,10402,9022,1380,0,108,502,23761,23368,13543,9750,3793,4244,2415,828,1393,102,843,393,393,0,ND
