date,FL224090045.Q,FL223020043.Q,FL223030043.Q,FL223034043.Q,FL222051043.Q,LM224022045.Q,FL223069143.Q,LM223061143.Q,LM223061743.Q,LM223062043.Q,LM223063045.Q,FL223065043.Q,LM223064145.Q,LM223064243.Q,FL223090045.Q,FL223073045.Q,LM223093043.Q,FL224190043.Q
1945:Q4,12983,69,0,0,0,2508,0,1519,0,849,140,18,7,0,10381,10381,0,12983
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,15150,77,0,0,0,2766,0,1671,0,935,160,21,8,0,12278,12278,0,15150
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,17776,85,0,0,0,3087,0,1860,0,1037,190,25,10,0,14569,14569,0,17777
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,20365,91,0,0,0,3506,0,2073,0,1166,267,35,13,0,16720,16720,0,20366
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,23047,101,0,0,0,4008,0,2257,0,1349,402,52,20,0,18866,18866,0,23048
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,25881,119,0,0,0,4632,0,2498,0,1549,585,75,29,0,21026,21026,0,25882
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,28206,138,0,0,0,5331,0,2918,0,1712,701,105,41,0,22591,22591,0,28208
1952:Q1,29038,143,0,0,0,5572,0,3070,5,1751,746,113,44,0,23166,23166,0,29041
1952:Q2,29871,148,0,0,0,5749,0,3148,10,1794,797,122,47,0,23805,23805,0,29874
1952:Q3,30704,153,0,0,0,6089,0,3313,15,1838,923,131,49,0,24282,24282,0,30707
1952:Q4,31537,158,0,0,0,6287,0,3374,20,1883,1010,141,56,0,24895,24895,0,31540
1953:Q1,32323,164,0,0,0,6561,0,3465,22,1933,1141,152,59,0,25387,25387,0,32326
1953:Q2,33109,173,0,0,0,6932,0,3655,23,1986,1268,163,63,0,25778,25778,0,33112
1953:Q3,33894,182,0,0,0,7291,0,3830,24,2042,1395,175,68,0,26178,26178,0,33897
1953:Q4,34680,189,0,0,0,7514,0,3860,25,2103,1526,188,75,0,26714,26714,0,34683
1954:Q1,35655,193,0,0,0,7898,0,4043,28,2166,1661,202,82,0,27280,27280,0,35658
1954:Q2,36631,195,0,0,0,8305,0,4234,31,2232,1808,217,84,0,27830,27830,0,36634
1954:Q3,37607,195,0,0,0,8606,0,4310,34,2302,1960,233,89,0,28484,28484,0,37610
1954:Q4,38581,194,0,0,0,8912,0,4383,38,2376,2115,249,99,0,29127,29127,0,38585
1955:Q1,39667,191,0,0,0,9188,0,4438,43,2456,2251,266,113,0,29909,29909,0,39670
1955:Q2,40753,185,0,0,0,9459,0,4478,48,2542,2391,283,148,0,30678,30678,0,40756
1955:Q3,41839,179,0,0,0,9788,0,4566,53,2632,2537,301,180,0,31391,31391,0,41842
1955:Q4,42923,174,0,0,0,10139,0,4666,58,2723,2692,318,200,0,32092,32092,0,42927
1956:Q1,44194,175,0,0,0,10594,0,4879,60,2816,2839,336,217,0,32872,32872,0,44198
1956:Q2,45465,178,0,0,0,10840,0,4903,62,2911,2964,352,201,0,33894,33894,0,45469
1956:Q3,46736,183,0,0,0,11073,0,4929,64,3009,3071,371,189,0,34920,34920,0,46740
1956:Q4,48006,190,0,0,0,11286,0,4944,67,3110,3165,395,200,0,35935,35935,0,48011
1957:Q1,49266,200,0,0,0,11631,0,5061,74,3214,3282,425,215,0,36795,36795,0,49271
1957:Q2,50526,214,0,0,0,11974,0,5114,82,3322,3456,460,277,0,37601,37601,0,50530
1957:Q3,51786,228,0,0,0,12380,0,5147,89,3431,3713,499,294,0,38385,38385,0,51790
1957:Q4,53045,237,0,0,0,12718,0,5058,97,3539,4024,540,300,0,39250,39250,0,53050
1958:Q1,54608,242,0,0,0,13197,0,5104,102,3648,4343,584,320,0,40265,40265,0,54612
1958:Q2,56170,245,0,0,0,13439,0,4950,107,3760,4622,631,340,0,41515,41515,0,56174
1958:Q3,57731,245,0,0,0,13818,0,4960,112,3868,4878,681,365,0,42622,42622,0,57735
1958:Q4,59293,244,0,0,0,14227,0,5021,117,3963,5126,736,400,0,43686,43686,0,59297
1959:Q1,59734,241,0,0,0,14634,0,5102,124,4048,5360,792,415,0,43652,43652,0,59738
1959:Q2,60176,234,0,0,0,14953,0,5126,132,4124,5571,847,453,0,43689,43689,0,60180
1959:Q3,60617,227,0,0,0,15459,0,5350,139,4192,5778,911,460,0,43560,43560,0,60622
1959:Q4,61058,221,0,0,0,15845,0,5462,146,4251,5986,992,500,0,43500,43500,0,61063
1960:Q1,62939,223,0,0,0,16338,0,5663,159,4305,6211,1091,491,0,44796,44796,0,62944
1960:Q2,64819,229,0,0,0,16717,0,5724,171,4356,6466,1209,532,0,46132,46132,0,64824
1960:Q3,66699,236,0,0,0,16998,0,5653,184,4393,6768,1333,521,0,47611,47611,0,66704
1960:Q4,68580,243,0,0,0,17437,0,5711,196,4406,7124,1450,600,0,48850,48850,0,68585
1961:Q1,70555,251,0,0,0,17992,0,5855,214,4399,7524,1564,704,0,50044,50044,0,70559
1961:Q2,72529,260,0,0,0,18435,0,5872,233,4374,7956,1680,735,0,51419,51419,0,72533
1961:Q3,74503,269,0,0,0,18853,0,5865,252,4330,8406,1793,792,0,52796,52796,0,74507
1961:Q4,76476,277,0,0,0,19186,0,5800,271,4263,8852,1896,900,0,54217,54217,0,76481
1962:Q1,76411,285,0,0,0,19830,0,6025,325,4175,9305,1990,931,0,53375,53375,0,76416
1962:Q2,76347,294,0,0,0,20248,0,6075,343,4058,9772,2074,753,0,52978,52978,0,76352
1962:Q3,76282,302,0,0,0,20671,0,6125,380,3930,10236,2155,845,0,52309,52309,0,76287
1962:Q4,76217,307,0,0,0,20969,0,6100,395,3804,10670,2242,1000,0,51699,51699,0,76222
1963:Q1,77955,311,0,0,0,21386,0,6200,387,3682,11117,2331,1122,0,52805,52805,0,77959
1963:Q2,79692,313,0,0,0,22017,0,6475,381,3553,11608,2420,1249,0,53693,53693,0,79696
1963:Q3,81429,314,0,0,0,22492,0,6550,351,3426,12165,2512,1375,0,54736,54736,0,81433
1963:Q4,83165,313,0,0,0,22944,0,6510,347,3304,12783,2612,1500,0,55796,55796,0,83170
1964:Q1,85189,313,0,0,0,23660,0,6725,341,3194,13400,2716,1657,0,56843,56843,0,85194
1964:Q2,87213,313,0,0,0,24387,0,6975,375,3089,13948,2822,1782,0,57909,57909,0,87218
1964:Q3,89236,313,0,0,0,24881,0,7066,369,2991,14455,2937,1906,0,59199,59199,0,89241
1964:Q4,91259,311,0,0,0,25255,0,7030,381,2900,14944,3070,2000,0,60623,60623,0,91265
1965:Q1,93639,311,0,0,0,26054,0,7417,376,2820,15441,3221,2094,0,61959,61959,0,93644
1965:Q2,96017,311,0,0,0,26689,0,7590,381,2748,15970,3389,2074,0,63554,63554,0,96022
1965:Q3,98394,312,0,0,0,27096,0,7351,485,2684,16576,3567,2326,0,65093,65093,0,98400
1965:Q4,100772,317,0,0,0,27515,0,7153,492,2625,17245,3746,2500,0,66694,66694,0,100779
1966:Q1,103706,325,0,0,0,28357,0,7312,502,2579,17964,3936,2580,0,68508,68508,0,103712
1966:Q2,106640,335,0,0,0,28941,0,7046,622,2543,18730,4143,2633,0,70588,70588,0,106646
1966:Q3,109573,349,0,0,0,29837,0,7166,671,2513,19487,4344,2527,0,72516,72516,0,109580
1966:Q4,112505,368,0,0,0,30432,0,7115,652,2481,20184,4516,2800,0,74389,74389,0,112513
1967:Q1,115361,407,0,0,0,30920,0,6800,669,2461,20990,4681,3292,0,76061,76061,0,115369
1967:Q2,118217,415,17,0,0,31595,0,6646,744,2442,21763,4847,3420,0,77923,77923,0,118226
1967:Q3,121073,381,69,0,0,32328,0,6308,759,2424,22837,4925,3740,0,79630,79630,0,121082
1967:Q4,123928,303,161,0,0,33277,0,6165,785,2406,23921,5003,3900,0,81284,81284,0,123938
1968:Q1,128886,365,108,0,0,33818,0,6219,758,2437,24404,5148,3847,0,85600,85600,0,128896
1968:Q2,133844,403,75,0,0,34599,0,6120,1028,2372,25079,5269,4696,0,88802,88802,0,133854
1968:Q3,138801,429,146,0,0,35358,0,6023,1138,2384,25813,5275,5232,0,92361,92361,0,138811
1968:Q4,143758,377,230,0,0,36278,0,5921,1410,2382,26565,5362,5800,0,95711,95711,0,143769
1969:Q1,149151,497,52,0,0,37074,0,5850,1437,2386,27401,5426,6091,0,100011,100011,0,149162
1969:Q2,154543,315,143,0,0,38022,0,5815,1465,2368,28374,5475,6458,0,104130,104130,0,154554
1969:Q3,159936,329,211,0,0,39122,0,5696,1552,2348,29526,5550,6699,0,108025,108025,0,159947
1969:Q4,165327,309,170,0,0,39893,0,5437,1566,2331,30559,5575,7300,0,112080,112080,0,165340
1970:Q1,170168,236,138,0,0,40853,0,5335,1592,2308,31618,5650,7750,0,115541,115541,0,170181
