date,FU893193005.Q,FU103193005.Q,FU113193003.Q,FU313193005.Q,FU713193005.Q,FU763193005.Q,FU753193005.Q,FU743193005.Q,FU473193005.Q,FU513193005.Q,FU543193005.Q,FU403193005.Q,FU613193005.Q,FU643193075.Q,FU663193005.Q,FU733193005.Q,FU503193005.Q,FU893093005.Q,FU103093005.Q,FU113093005.Q,FU213093003.Q,FU713093005.Q,FU763093005.Q,FU753093005.Q,FU743093005.Q,FU473093005.Q,FU513093005.Q,FU543093005.Q,FU573093005.Q,FU223093005.Q,FU633093005.Q,FU653093005.Q,FU563093003.Q,FU403093005.Q,FU613093005.Q,FU643093075.Q,FU663093005.Q,FU733093005.Q,FU503093023.Q,FU903090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1372,1444,0,-400,-183,374,0,0,10,1,84,-202,159,0,-9,0,94,-2626,-307,0,0,-19,-2324,0,44,0,0,7,-91,0,0,0,0,-26,94,0,-4,0,0,3999
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2224,1641,0,-400,337,126,0,0,9,-7,271,25,224,0,-21,0,19,263,373,0,0,69,-445,0,53,0,0,-15,200,0,0,0,0,-25,59,0,-6,0,0,1960
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1533,1673,0,-205,-146,58,0,1,14,-12,59,-7,-16,0,-16,0,130,91,600,0,0,31,-750,0,-40,0,0,86,200,0,0,0,0,-12,-16,0,-8,0,0,1443
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2261,1745,0,-320,304,207,0,0,18,-7,158,-65,165,0,-21,0,77,654,469,0,0,-46,-2,0,14,0,0,19,136,0,0,0,0,3,69,0,-8,0,0,1608
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,3997,2615,0,10,417,468,0,-11,25,-26,12,111,258,0,-28,0,146,971,523,0,0,25,286,0,44,0,0,140,-196,0,0,0,0,1,158,0,-10,0,0,3025
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,19471,19136,0,180,-443,98,0,-1,30,-10,121,84,-78,0,-17,0,371,544,830,0,0,17,-325,0,3,0,0,104,30,0,0,0,0,-3,-100,0,-12,0,0,18927
1952:Q1,3701,3394,0,-43,-180,195,2,0,7,0,48,-31,133,0,-16,0,192,633,27,0,31,29,93,32,2,0,0,25,162,0,0,0,0,112,120,0,0,0,0,3068
1952:Q2,5993,5825,0,-51,99,93,10,0,9,1,113,-116,123,0,-17,0,-96,152,-115,0,97,27,46,16,2,0,0,22,27,0,0,0,0,2,31,0,-3,0,0,5841
1952:Q3,-480,-840,0,-34,-171,284,1,1,10,1,88,-38,100,0,-31,0,149,491,113,0,116,74,94,-9,2,0,0,20,25,0,0,0,0,4,56,0,-4,0,0,-971
1952:Q4,-10745,-10927,0,-58,314,-186,-10,0,10,1,71,6,97,0,-62,0,-1,930,886,0,117,-100,131,-11,3,0,0,14,15,0,0,0,0,-141,23,0,-7,0,0,-11675
1953:Q1,-3801,-4270,0,-9,-84,221,-18,0,7,0,70,56,-26,0,18,0,234,59,111,0,-116,17,-191,190,-1,0,0,13,10,0,0,0,0,148,-118,0,-4,0,0,-3860
1953:Q2,-9082,-9186,0,-15,-143,106,24,-1,11,1,52,-23,143,0,16,0,-67,-140,70,0,-109,-76,154,-238,-4,0,0,8,0,0,0,0,0,-1,60,0,-4,0,0,-8942
1953:Q3,-3765,-4659,0,12,171,366,-1,0,11,1,10,9,131,0,10,0,174,492,192,0,137,96,-43,-16,-1,0,0,9,1,0,0,0,0,5,116,0,-4,0,0,-4257
1953:Q4,13770,14427,0,-37,113,-555,-12,0,15,1,1,-3,-75,0,-32,0,-73,1047,706,0,124,-39,316,-26,1,0,0,13,0,0,0,0,0,-5,-39,0,-4,0,0,12723
1954:Q1,11678,11246,0,6,-118,236,-3,0,18,1,132,26,75,0,-65,0,124,-144,115,0,-130,14,-239,34,4,0,0,22,6,0,0,0,0,6,29,0,-5,0,0,11822
1954:Q2,16390,16192,0,-16,6,148,-2,-1,19,1,138,-33,117,0,-49,0,-130,330,-43,0,-146,-69,484,22,4,0,0,28,6,0,0,0,0,18,31,0,-5,0,0,16060
1954:Q3,20057,19574,0,34,-81,501,-6,1,18,1,32,-8,65,0,-78,0,4,471,63,0,91,82,103,20,6,0,0,28,10,0,0,0,0,-19,92,0,-5,0,0,19586
1954:Q4,2714,2890,0,-8,30,-257,-57,0,21,-4,-48,34,405,0,-69,0,-223,1211,589,0,103,-40,392,-32,12,0,0,21,18,0,0,0,0,88,65,0,-5,0,0,1503
1955:Q1,7544,6662,0,50,19,155,11,0,14,1,-4,-1,354,0,-24,0,307,-34,139,0,-102,7,-220,17,2,0,0,13,32,0,0,0,0,-15,99,0,-6,0,0,7578
1955:Q2,25684,23840,0,-38,39,550,22,1,18,2,73,23,1129,0,-67,0,92,692,98,0,-72,-2,468,-8,0,0,0,6,35,0,0,0,0,13,160,0,-6,0,0,24992
1955:Q3,16672,15436,0,52,11,614,-11,1,19,1,36,38,465,0,-49,0,59,821,45,0,172,11,358,-50,1,0,0,6,45,0,0,0,0,-2,241,0,-6,0,0,15851
1955:Q4,2709,2445,0,-215,154,-395,2,0,21,-1,60,-45,876,0,-31,0,-162,790,827,0,156,13,-266,-10,4,0,0,16,52,0,0,0,0,-4,8,0,-6,0,0,1919
1956:Q1,17542,17117,0,131,-200,480,5,-1,23,2,115,-9,-569,0,-74,0,522,440,392,0,-78,-39,74,105,3,0,0,25,55,0,0,0,0,-2,-88,0,-7,0,0,17102
1956:Q2,-9489,-9557,0,-68,0,109,3,1,23,1,123,57,-9,0,15,0,-187,249,-97,0,-100,110,134,89,3,0,0,34,75,0,0,0,0,17,-9,0,-7,0,0,-9738
1956:Q3,-6065,-6274,0,324,-99,390,-14,-1,24,0,-34,-43,-296,0,17,0,-59,406,-75,0,175,61,-2,77,5,0,0,34,73,0,0,0,0,-12,77,0,-7,0,0,-6471
1956:Q4,19867,20561,0,43,169,-695,-28,0,26,3,31,156,-200,0,-6,0,-193,1001,996,0,67,-28,-34,32,8,0,0,26,51,0,0,0,0,-20,-90,0,-7,0,0,18866
1957:Q1,-14922,-15419,0,-309,-104,413,3,0,26,1,41,-72,44,0,26,0,428,-502,136,0,-154,-105,-245,1,14,0,0,20,46,0,0,0,0,4,-211,0,-8,0,0,-14420
1957:Q2,18707,18403,0,293,-224,165,14,0,28,1,90,7,180,0,-37,0,-213,201,-189,0,-157,-8,552,43,20,0,0,15,22,0,0,0,0,1,-90,0,-8,0,0,18506
1957:Q3,-27355,-27779,0,-232,207,635,-74,0,30,0,-9,-10,-260,0,48,0,89,287,60,0,154,-2,25,-20,21,0,0,14,36,0,0,0,0,7,0,0,-8,0,0,-27642
1957:Q4,-435,-104,0,236,-5,-633,-59,-1,36,6,65,51,-59,0,26,0,6,610,389,0,164,98,-100,30,23,0,0,15,37,0,0,0,0,-8,-29,0,-9,0,0,-1045
1958:Q1,14577,14961,0,-218,41,184,23,-1,38,1,-8,2,-710,0,-30,0,294,-213,-40,0,-220,-49,-83,23,10,0,0,17,23,0,0,0,0,-2,115,0,-7,0,0,14790
1958:Q2,17586,16556,0,342,429,189,92,0,36,0,230,-4,-316,0,-53,0,85,1143,213,0,-195,0,888,82,5,0,0,15,12,0,0,0,0,16,115,0,-8,0,0,16443
1958:Q3,32716,32002,0,-184,-390,943,-14,0,35,0,51,-26,371,0,-90,0,18,-393,-7,0,121,-15,-707,72,3,0,0,18,10,0,0,0,0,4,116,0,-8,0,0,33109
1958:Q4,13984,13896,0,104,86,-268,-12,-1,38,-5,-100,29,557,0,-38,0,-302,1555,620,0,215,-4,586,-17,6,0,0,22,20,0,0,0,0,2,113,0,-8,0,0,12429
1959:Q1,7673,6947,0,-418,129,1046,6,0,30,0,-115,135,-200,0,-17,0,130,814,462,0,28,5,10,143,5,0,0,29,43,0,0,0,0,-12,110,0,-9,0,0,6860
1959:Q2,14096,13823,0,175,-230,547,4,1,30,1,-50,-81,-129,0,-13,0,18,958,214,0,-37,34,526,200,4,0,0,37,43,0,0,0,0,8,-62,0,-9,0,0,13137
1959:Q3,-5766,-6600,0,-313,59,761,-43,0,30,1,-107,-50,281,0,-2,0,217,660,27,0,9,40,197,162,4,0,0,38,63,0,0,0,0,26,103,0,-9,0,0,-6426
1959:Q4,21407,21875,0,141,323,-1080,-46,-1,34,1,61,78,523,0,-11,0,-491,-1112,574,0,11,44,-1420,-513,19,0,0,33,51,0,0,0,0,21,78,0,-9,0,0,22519
1960:Q1,-23047,-23304,0,-182,-384,471,-46,-2,36,0,180,16,-1019,0,26,0,1161,635,1164,0,-9,2,-774,140,6,0,0,28,81,0,0,0,0,-20,27,0,-10,0,0,-23682
1960:Q2,8193,7983,0,385,521,-1012,80,-2,35,2,138,-12,35,0,-8,0,48,-363,-683,0,6,170,18,116,6,0,0,22,72,0,0,0,0,17,-97,0,-10,0,0,8555
1960:Q3,-26759,-26603,0,-77,-514,255,-137,-1,28,2,34,28,121,0,22,0,83,587,356,0,32,-151,189,-67,7,0,0,24,92,0,0,0,0,32,83,0,-10,0,0,-27345
1960:Q4,42239,43678,0,103,203,-1296,-94,-2,28,-2,24,-26,-13,0,-40,0,-324,-452,-1112,0,22,-67,763,-47,14,0,0,33,45,0,0,0,0,-26,-66,0,-11,0,0,42691
1961:Q1,46276,44613,0,-92,-136,1260,-47,-2,29,2,74,86,4,0,-76,0,561,-1447,204,0,36,5,-1380,-390,11,0,0,44,30,0,0,0,0,4,0,0,-11,0,0,47724
1961:Q2,221,215,0,279,-72,-297,-40,-1,29,0,198,-106,144,0,-2,0,-126,3214,292,0,-22,51,2635,66,16,0,0,56,47,0,0,0,0,10,75,0,-12,0,0,-2993
1961:Q3,12720,11881,0,-363,-106,965,-50,-1,26,1,84,-16,298,0,-4,0,5,-1512,-354,0,-35,-17,-1452,-29,16,0,0,56,42,0,0,0,0,4,269,0,-12,0,0,14232
1961:Q4,12078,12811,0,140,170,-411,-93,0,24,-11,-50,62,250,0,-9,0,-805,104,-741,0,6,-6,526,-52,18,0,0,42,35,0,0,0,0,3,285,0,-12,0,0,11974
1962:Q1,2526,162,0,192,-117,1420,-22,-2,17,0,-104,3,-61,0,-6,0,1044,-169,768,0,7,31,-1035,-3,8,0,0,33,112,0,0,0,0,-1,-76,0,-13,0,0,2695
1962:Q2,389,246,0,-184,71,-434,41,-2,15,1,71,51,555,0,5,0,-47,2088,-90,0,-54,-14,1781,-11,4,0,0,22,216,0,0,0,0,-2,249,0,-13,0,0,-1699
1962:Q3,1717,101,0,171,7,721,64,-1,9,1,56,-93,443,0,-17,0,255,344,156,0,-41,33,-220,-3,6,0,0,20,127,0,0,0,0,20,260,0,-14,0,0,1373
1962:Q4,-1027,148,0,-165,129,-1229,-35,0,8,6,317,54,90,0,-18,0,-332,-298,-715,0,-39,14,172,165,14,0,0,28,75,0,0,0,0,-4,6,0,-14,0,0,-729
1963:Q1,2445,224,0,90,-262,1495,57,-2,5,0,-78,74,-21,0,-20,0,883,-2311,-907,0,24,-17,-1340,-125,11,0,0,33,55,0,0,0,0,-18,-12,0,-15,0,0,4756
1963:Q2,1964,206,0,-85,42,260,-2,-1,-1,1,257,-27,828,0,1,0,485,2909,161,0,-25,-18,2469,-26,11,0,0,38,20,0,0,0,0,12,282,0,-15,0,0,-945
1963:Q3,2905,210,0,-91,-57,1858,15,0,-2,-1,107,-77,564,0,-11,0,390,-8,111,0,-3,16,-634,20,15,0,0,39,37,0,0,0,0,45,363,0,-16,0,0,2912
1963:Q4,-1268,184,0,-110,125,-1298,-36,0,-1,-5,78,52,287,0,-6,0,-538,188,-1061,0,-49,-41,931,141,16,0,0,36,115,0,0,0,0,-64,179,0,-16,0,0,-1456
1964:Q1,1056,182,0,-13,-84,846,-46,-5,-11,0,-2,29,-240,0,-37,0,437,416,130,0,-42,86,111,9,23,0,0,34,186,0,0,0,0,1,-105,0,-17,0,0,640
1964:Q2,1915,244,0,-85,29,266,-121,-6,-9,1,169,73,561,0,-5,0,798,719,2,0,-7,-88,117,90,27,0,0,32,282,0,0,0,0,-17,298,0,-17,0,0,1197
1964:Q3,914,224,0,39,43,1000,-159,-1,-9,1,23,-92,300,0,-22,0,-433,1111,-169,0,14,109,627,7,25,0,0,32,295,0,0,0,0,35,154,0,-18,0,0,-197
1964:Q4,169,-13,0,-209,695,-940,-213,-3,-7,-7,71,57,94,0,494,0,150,-247,-405,0,16,-100,-185,140,23,0,0,37,230,0,0,0,0,-7,22,0,-19,0,0,417
1965:Q1,3283,271,0,77,-73,1704,-115,-3,-8,1,101,64,122,0,-21,0,1163,591,681,0,-39,105,-707,303,4,0,0,42,173,0,0,0,0,-6,54,0,-19,0,0,2692
1965:Q2,1051,156,0,185,-116,36,134,-3,-7,-1,220,-40,-39,0,29,0,497,2360,691,0,12,-52,1014,308,-8,0,0,49,148,0,0,0,0,39,179,0,-20,0,0,-1308
1965:Q3,1534,273,0,-69,-96,1255,315,-2,-9,-1,63,-74,230,0,-96,0,-255,-1585,-1246,0,37,34,-333,-548,-7,0,0,48,81,0,0,0,0,14,356,0,-21,0,0,3119
1965:Q4,-612,226,0,-169,-45,7,-13,-4,-5,-1,51,199,-521,0,-18,0,-319,5449,4937,0,-12,5,423,-30,14,0,0,44,152,0,0,0,0,8,-71,0,-21,0,0,-6061
1966:Q1,2474,253,0,-117,-112,2422,154,-1,-5,-1,-310,128,-662,0,20,0,705,1822,1583,0,2,158,53,22,19,0,0,-129,211,0,0,0,0,-1,-74,0,-22,0,0,652
1966:Q2,-789,203,0,-75,97,-431,29,0,-2,1,372,-197,-873,0,21,0,66,592,-519,0,65,1,615,393,29,0,0,-110,267,0,0,0,0,-48,-78,0,-23,0,0,-1381
1966:Q3,3485,52,0,151,-75,2324,-16,-1,-7,2,397,-1,-391,0,105,0,945,690,221,0,3,80,203,-55,32,0,0,-119,312,0,0,0,0,93,-56,0,-24,0,0,2795
1966:Q4,-4567,252,0,-103,232,-4262,-85,-2,-2,9,-59,-22,-1291,0,-39,0,805,-6471,-5221,0,75,-41,-1013,-217,32,0,0,214,222,0,0,0,0,-135,-364,0,-24,0,0,1904
1967:Q1,3218,147,0,196,-205,2393,-168,-1,2,1,-77,1,-417,0,-180,0,1526,-1022,-1395,0,5,84,6,-458,25,0,-13,637,193,0,0,0,0,-55,-43,0,-8,0,0,4240
1967:Q2,-119,103,0,439,110,-1300,-8,-1,5,1,409,19,105,0,-20,0,20,971,-324,0,41,-70,389,268,27,0,0,-34,292,0,0,0,0,-3,394,0,-9,0,0,-1090
1967:Q3,1383,339,0,-24,13,2198,64,0,0,1,282,-8,-586,0,-95,0,-801,739,-700,0,-30,185,1075,-262,24,0,0,-42,247,0,0,0,0,126,124,0,-8,0,0,644
1967:Q4,517,2864,0,-437,145,-2501,103,0,4,-5,274,49,-1124,0,-6,0,1151,2883,2265,0,-16,-178,753,-118,20,0,0,1,270,0,0,0,0,-27,-79,0,-9,0,0,-2366
1968:Q1,4112,-1697,0,403,-21,3818,5,1,-1,1,-32,25,491,9,108,0,1002,1309,1374,0,19,120,-499,171,32,0,0,30,295,0,0,0,0,-7,-176,-40,-9,0,0,2803
1968:Q2,-644,-334,0,176,101,-719,-201,1,0,1,174,107,268,9,-206,0,-21,-1688,-3090,0,-7,-3,748,294,1,0,0,51,125,0,0,0,0,-9,293,-84,-8,0,0,1044
1968:Q3,4633,689,0,163,-42,2706,1,0,-4,1,56,-122,754,13,-47,0,465,-1737,-2530,0,-64,31,1385,-911,27,0,0,65,183,0,0,0,0,-37,172,-49,-9,0,0,6369
1968:Q4,232,735,0,-19,299,-850,-251,-1,4,-7,234,-42,-671,13,-28,0,816,2802,2215,0,-33,88,-1105,995,84,0,0,77,185,0,0,0,0,66,330,-91,-9,0,0,-2570
1969:Q1,6663,862,0,107,-354,5426,-1336,-29,0,1,-46,103,373,20,56,395,1085,-765,-260,0,-43,-63,-2023,248,182,0,0,121,230,0,0,0,0,13,515,-65,-10,390,0,7428
1969:Q2,794,773,0,-276,287,-3442,-111,-40,3,2,270,19,1561,3,13,185,1547,2576,-791,0,-22,-67,1950,-253,300,0,0,125,207,0,0,0,0,108,916,-131,-9,243,0,-1782
1969:Q3,10631,834,0,77,-200,6673,-150,-3,0,1,4,201,200,-3,72,384,2541,-2964,-845,0,-13,120,-2064,-52,272,0,0,72,216,0,0,0,0,87,-403,-119,-9,-226,0,13594
1969:Q4,-6259,816,0,-267,575,-8888,1483,-3,10,9,163,174,-1568,12,-4,-550,1779,1600,1832,0,-32,-120,281,-720,96,0,0,116,190,0,0,0,0,148,-259,-264,-10,342,0,-7859
1970:Q1,7679,-8954,7623,-107,-175,5304,-2257,-4,12,2,-118,198,1967,-26,48,-206,4372,2833,605,0,-1,155,-128,648,113,0,0,93,228,0,0,0,0,109,750,-290,-9,561,0,4846
1970:Q2,-2868,174,140,122,109,-5472,318,-4,16,2,235,82,-125,-5,197,-48,1391,6854,5545,0,2,-64,349,-628,65,0,0,87,403,0,0,0,0,179,136,-191,-10,980,0,-9722
1970:Q3,-4824,657,342,250,50,1369,-441,-5,11,1,-46,85,-366,8,-267,56,-6528,-9131,-5301,0,-29,131,-1598,-539,38,0,0,84,82,0,0,0,0,-338,-11,-216,-10,-1424,0,4307
1970:Q4,-3249,523,476,274,487,-3517,546,-4,20,0,81,156,-2166,-11,-132,1357,-1339,1730,252,0,-12,-131,585,-847,40,0,0,82,138,0,0,0,0,817,291,-376,-9,899,0,-4979
1971:Q1,5007,-573,754,317,-500,5046,-975,-9,4,2,-26,-100,3487,2,-214,-408,-1799,6001,2019,1000,-11,99,2780,595,-176,0,0,123,128,0,0,0,0,-2,756,-187,-10,-1113,0,-993
1971:Q2,-3063,-295,404,382,-44,-2822,-1011,-8,1,1,255,-42,839,-18,27,410,-1142,2908,78,1000,49,26,1381,-273,-163,0,0,149,258,0,0,0,0,227,448,-315,-11,54,0,-5971
1971:Q3,9217,139,685,-234,-195,5083,548,-10,-7,2,71,389,1490,-259,-39,1879,-324,3790,2109,1000,70,-19,-220,264,233,0,0,149,230,0,0,0,0,-23,52,-202,-10,157,0,5427
1971:Q4,-3347,715,1052,363,534,-4738,332,-11,1,-15,215,-349,-1565,-422,-52,124,470,7960,5839,1000,-17,80,677,41,177,0,0,129,220,0,0,0,0,-49,482,-290,-10,-319,0,-11306
1972:Q1,8246,161,920,-109,-287,5387,2443,-7,3,2,138,166,1419,-466,32,-949,-607,9770,7202,1000,25,-172,487,542,-175,0,0,113,1220,0,0,0,0,115,257,-434,-11,-400,0,-1523
1972:Q2,1691,83,285,106,289,-177,1066,-8,2,1,617,34,567,-518,171,197,-1024,7756,2199,1200,2,92,2434,60,-143,0,0,99,2021,0,0,0,0,-9,352,-517,-10,-24,0,-6065
1972:Q3,-447,57,503,-295,-86,1985,-213,-6,-7,2,259,334,-72,-574,164,4,-2502,2147,-122,1200,-45,-11,-1513,34,74,0,0,96,2061,0,0,0,0,-36,211,-242,-11,451,0,-2594
1972:Q4,2667,851,976,328,86,1627,563,-6,3,-17,11,-129,-851,-530,199,-187,-257,26301,19135,1200,-84,107,3286,813,254,0,0,104,1445,0,0,0,0,-389,555,-624,-11,510,0,-23634
1973:Q1,5844,-876,968,233,102,4362,-97,-2,38,1,292,717,820,169,280,569,-1732,25894,19494,1756,2,-123,394,-9,118,0,0,111,1200,0,0,0,0,302,5,-326,-11,2981,0,-20050
1973:Q2,3936,-2519,133,54,-41,2918,212,-3,40,6,349,-362,1006,17,-148,189,2085,5584,-359,461,7,186,2594,30,-50,0,0,115,856,0,0,0,0,47,572,-744,-11,1879,0,-1647
1973:Q3,1303,-1986,627,-831,384,3219,-3,-14,19,6,-44,682,323,-696,-2672,1294,995,-5844,-4934,409,20,-140,-4650,206,36,0,0,118,518,0,0,0,0,598,-244,-965,-11,3195,0,7148
1973:Q4,4839,-855,1559,181,807,-3043,366,-13,31,-19,77,374,1264,-19,-109,24,4214,17946,12220,201,-57,371,4834,-137,-26,0,0,115,1046,0,0,0,0,40,1130,-517,-11,-1263,0,-13108
1974:Q1,5909,302,1077,-42,-812,4388,-403,-1,103,-61,31,-348,1719,588,-1044,-283,695,-6250,-3715,6,-60,-339,-3788,-66,56,0,0,137,946,0,9,0,0,-241,558,-360,-12,619,0,12159
1974:Q2,-36,48,858,-912,67,-4338,121,-2,108,-62,429,-189,-542,1818,-85,-543,3188,-4832,-4335,-175,26,151,-856,-21,-47,0,0,142,1146,0,-7,0,0,-673,-259,121,-11,-34,0,4797
1974:Q3,6575,2303,1603,-636,188,2359,-320,1,87,-61,149,-162,-645,626,-351,-2770,4204,926,10037,-253,32,-13,-5463,-146,-142,0,0,157,1427,0,0,0,0,310,-1033,328,-12,-4303,0,5649
1974:Q4,-16399,802,2040,1583,353,-15019,-32,2,97,-57,433,-312,-4298,158,-408,518,-2259,-8792,-9887,-229,-52,2033,750,-384,-83,0,0,181,1107,0,0,0,0,-1212,-1488,87,-12,398,0,-7607
1975:Q1,18344,18929,781,-377,-743,3480,1319,-5,22,36,83,107,711,-9,-1847,-236,-3906,-18349,-19810,-266,-15,-71,826,126,166,0,0,220,1163,0,-2,0,0,-71,-615,1226,-162,-1064,0,36694
1975:Q2,5058,11684,1,143,188,-371,162,-7,13,36,432,907,-4158,-182,-1064,1336,-4062,-6450,-7466,-373,-15,-157,-1724,542,181,0,0,272,2877,0,50,0,0,424,-2885,1031,-148,941,0,11508
1975:Q3,19034,9308,395,-365,-104,9874,367,18,-11,36,231,-235,1012,-92,2310,1032,-4742,7252,-7512,-317,-2,-158,8479,-468,114,0,0,259,4205,0,16,0,0,905,-149,1166,-290,1003,0,11782
1975:Q4,-15873,-8944,1853,-110,448,-3133,-145,17,3,37,570,308,-3716,-92,-93,-1027,-1849,8351,4005,-101,-40,395,1944,69,122,0,0,184,2505,0,-15,0,0,-295,-468,861,-14,-800,0,-24224
1976:Q1,35530,25239,-291,431,-221,5508,177,62,29,35,195,-110,630,197,2451,1027,171,-728,-3385,104,-41,-82,1805,-175,-145,0,0,200,47,0,41,0,0,-209,19,284,2690,-1881,0,36258
1976:Q2,11328,6236,124,489,-173,2123,-657,52,33,52,700,-311,364,8,314,1219,755,6925,11031,289,103,-72,-1412,-313,-122,0,0,184,-2218,0,0,0,0,-403,-123,276,-256,-39,0,4403
1976:Q3,19586,14428,458,-542,423,6089,25,2,22,52,342,415,103,-74,-63,314,-2408,7888,6234,381,51,40,-1443,196,111,0,0,177,2165,0,53,0,0,200,-487,288,65,-143,0,11698
1976:Q4,-26490,-13987,955,561,29,-11648,-51,1,41,73,302,291,-1530,114,-485,730,-1886,1143,637,380,-24,-106,-1728,-176,61,0,0,178,3048,0,-121,0,0,-61,-89,292,-834,-314,0,-27633
1977:Q1,33060,17269,289,-525,-579,5175,371,22,183,52,330,295,1881,38,529,799,6932,9688,-522,423,4,-100,3293,-233,32,0,0,354,5231,0,115,0,0,-67,-321,112,254,1112,0,23372
1977:Q2,12065,2174,-959,213,248,6576,-678,18,181,22,290,296,-1407,-119,308,35,4867,1654,-2443,506,-69,-54,3630,-50,-29,0,0,336,7,0,10,0,0,388,106,65,-288,-462,0,10411
